TP, FN, FP, TN, P    , R    , F1   , ER   , RI
72, 29, 242, 2708, 0.229, 0.713, 0.347, 0.856, 5.927
916, 52, 501, 3956, 0.646, 0.946, 0.768, 0.724, 2.623
117, 10, 152, 3810, 0.435, 0.921, 0.591, 0.929, 13.004
49, 24, 195, 2316, 0.201, 0.671, 0.309, 0.859, 6.108
321, 55, 249, 1866, 0.563, 0.854, 0.679, 0.732, 2.731
138, 56, 280, 4169, 0.330, 0.711, 0.451, 0.873, 6.901
80, 20, 129, 2264, 0.383, 0.800, 0.518, 0.895, 8.543
236, 45, 317, 3549, 0.427, 0.840, 0.566, 0.841, 5.298
357, 25, 291, 2978, 0.551, 0.935, 0.693, 0.810, 4.266
158, 42, 277, 3995, 0.363, 0.790, 0.498, 0.877, 7.122
67, 17, 110, 1454, 0.379, 0.798, 0.513, 0.865, 6.426
289, 31, 517, 2486, 0.359, 0.903, 0.513, 0.731, 2.723
221, 27, 416, 3770, 0.347, 0.891, 0.499, 0.839, 5.203
926, 119, 2907, 25387, 0.242, 0.886, 0.380, 0.853, 5.783
112, 23, 130, 953, 0.463, 0.830, 0.594, 0.761, 3.176
570, 47, 1176, 13239, 0.326, 0.924, 0.482, 0.874, 6.954
81, 16, 636, 6978, 0.113, 0.835, 0.199, 0.889, 7.981
73, 18, 345, 3202, 0.175, 0.802, 0.287, 0.857, 5.982
255, 31, 1031, 10900, 0.198, 0.892, 0.324, 0.882, 7.470
46, 16, 220, 2408, 0.173, 0.742, 0.280, 0.867, 6.503
