TP, FN, FP, TN, P    , R    , F1   , ER   , RI
39, 62, 28, 2922, 0.582, 0.386, 0.464, 0.943, 16.584
706, 262, 156, 4301, 0.819, 0.729, 0.772, 0.782, 3.590
101, 26, 19, 3943, 0.842, 0.795, 0.818, 0.963, 26.099
32, 41, 6, 2505, 0.842, 0.438, 0.577, 0.966, 28.808
249, 127, 28, 2087, 0.899, 0.662, 0.763, 0.832, 4.955
56, 138, 14, 4435, 0.800, 0.289, 0.424, 0.948, 18.146
74, 26, 35, 2358, 0.679, 0.740, 0.708, 0.941, 15.925
207, 74, 21, 3845, 0.908, 0.737, 0.813, 0.925, 12.399
316, 66, 42, 3227, 0.883, 0.827, 0.854, 0.881, 7.436
109, 91, 21, 4251, 0.838, 0.545, 0.661, 0.947, 17.748
59, 25, 20, 1544, 0.747, 0.702, 0.724, 0.932, 13.652
199, 121, 113, 2890, 0.638, 0.622, 0.630, 0.849, 5.623
191, 57, 84, 4102, 0.695, 0.770, 0.730, 0.919, 11.418
696, 349, 290, 28004, 0.706, 0.666, 0.685, 0.950, 18.818
87, 48, 40, 1043, 0.685, 0.644, 0.664, 0.838, 5.181
506, 111, 145, 14270, 0.777, 0.820, 0.798, 0.947, 17.937
65, 32, 55, 7559, 0.542, 0.670, 0.599, 0.977, 42.060
56, 35, 18, 3529, 0.757, 0.615, 0.679, 0.967, 29.254
174, 112, 107, 11824, 0.619, 0.608, 0.614, 0.962, 25.451
27, 35, 18, 2610, 0.600, 0.435, 0.505, 0.962, 25.032
