Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 476, 570, 297, 27997, 0.616, 0.455, 0.523, 0.942, 16.273
ArgoUML, 648, 398, 546, 27748, 0.543, 0.620, 0.579, 0.934, 14.223
Columba, 758, 288, 333, 27961, 0.695, 0.725, 0.709, 0.949, 18.488
EMF, 705, 341, 478, 27816, 0.596, 0.674, 0.633, 0.940, 15.716
Hibernate, 759, 287, 616, 27678, 0.552, 0.726, 0.627, 0.935, 14.483
JEdit, 536, 510, 1240, 27054, 0.302, 0.512, 0.380, 0.882, 7.465
JFreeChart, 721, 325, 746, 27548, 0.491, 0.689, 0.574, 0.927, 12.786
JMeter, 721, 325, 329, 27965, 0.687, 0.689, 0.688, 0.948, 18.261
JRuby, 776, 270, 348, 27946, 0.690, 0.742, 0.715, 0.948, 18.365
SQuirrel, 730, 316, 409, 27885, 0.641, 0.698, 0.668, 0.944, 16.977
Dubbo, 568, 478, 290, 28004, 0.662, 0.543, 0.597, 0.946, 17.569
Gradle, 561, 485, 413, 27881, 0.576, 0.536, 0.555, 0.938, 15.156
Groovy, 597, 449, 222, 28072, 0.729, 0.571, 0.640, 0.951, 19.446
Maven, 638, 408, 664, 27630, 0.490, 0.610, 0.543, 0.927, 12.745
Poi, 779, 267, 327, 27967, 0.704, 0.745, 0.724, 0.949, 18.757
SpringFramework, 713, 333, 281, 28013, 0.717, 0.682, 0.699, 0.950, 19.120
Storm, 701, 345, 306, 27988, 0.696, 0.670, 0.683, 0.949, 18.526
Tomcat, 674, 372, 393, 27901, 0.632, 0.644, 0.638, 0.944, 16.718
Zookeeper, 639, 407, 283, 28011, 0.693, 0.611, 0.649, 0.949, 18.440
