Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 26.6, 75.4, 29.1, 2920.9, 0.509, 0.261, 0.333, 0.931, 14.231
ArgoUML, 751.4, 217.6, 167.6, 4289.4, 0.818, 0.775, 0.793, 0.782, 3.579
Columba, 81.5, 46.5, 18.7, 3943.3, 0.819, 0.637, 0.710, 0.961, 25.155
EMF, 23.0, 51.0, 23.4, 2487.6, 0.570, 0.311, 0.390, 0.943, 18.922
Hibernate, 233.1, 143.9, 31.6, 2083.4, 0.881, 0.618, 0.724, 0.827, 4.821
JEdit, 32.5, 162.5, 19.0, 4430.0, 0.641, 0.167, 0.258, 0.934, 14.259
JFreeChart, 49.5, 51.5, 16.3, 2376.7, 0.766, 0.490, 0.585, 0.946, 17.903
JMeter, 175.9, 106.1, 39.6, 3826.4, 0.818, 0.624, 0.705, 0.916, 11.036
JRuby, 215.2, 167.8, 44.1, 3224.9, 0.827, 0.562, 0.661, 0.872, 6.887
SQuirrel, 108.0, 93.0, 45.5, 4226.5, 0.713, 0.537, 0.609, 0.935, 14.860
Dubbo, 40.1, 44.9, 20.6, 1543.4, 0.657, 0.471, 0.541, 0.920, 11.740
Gradle, 216.1, 104.9, 142.0, 2861.0, 0.609, 0.673, 0.635, 0.840, 5.301
Groovy, 169.1, 79.9, 96.8, 4089.2, 0.639, 0.679, 0.656, 0.910, 10.384
Hive, 668.4, 377.6, 448.5, 27845.5, 0.616, 0.639, 0.622, 0.940, 16.290
Maven, 84.3, 51.7, 38.7, 1044.3, 0.690, 0.620, 0.650, 0.837, 5.185
Poi, 381.9, 236.1, 162.5, 14252.5, 0.706, 0.618, 0.655, 0.940, 16.177
SpringFramework, 53.8, 44.2, 72.3, 7541.7, 0.467, 0.549, 0.496, 0.968, 35.781
Storm, 48.8, 43.2, 48.8, 3498.2, 0.535, 0.531, 0.523, 0.949, 20.170
Tomcat, 135.8, 151.2, 146.7, 11784.3, 0.499, 0.473, 0.479, 0.950, 20.247
Zookeeper, 26.7, 36.3, 33.6, 2594.4, 0.472, 0.424, 0.441, 0.946, 19.159
