Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 52, 76, 13, 3949, 0.800, 0.406, 0.539, 0.961, 24.563
ArgoUML, 78, 50, 17, 3945, 0.821, 0.609, 0.700, 0.962, 25.235
EMF, 84, 44, 21, 3941, 0.800, 0.656, 0.721, 0.961, 24.563
Hibernate, 98, 30, 46, 3916, 0.681, 0.766, 0.721, 0.954, 20.746
JEdit, 52, 76, 46, 3916, 0.531, 0.406, 0.460, 0.941, 15.955
JFreeChart, 97, 31, 27, 3935, 0.782, 0.758, 0.770, 0.960, 23.996
JMeter, 83, 45, 14, 3948, 0.856, 0.648, 0.738, 0.963, 26.341
JRuby, 107, 21, 10, 3952, 0.915, 0.836, 0.873, 0.966, 28.222
SQuirrel, 89, 39, 13, 3949, 0.873, 0.695, 0.774, 0.964, 26.881
Dubbo, 65, 63, 8, 3954, 0.890, 0.508, 0.647, 0.965, 27.451
Gradle, 57, 71, 5, 3957, 0.919, 0.445, 0.600, 0.966, 28.376
Groovy, 83, 45, 16, 3946, 0.838, 0.648, 0.731, 0.963, 25.789
Hive, 87, 41, 21, 3941, 0.806, 0.680, 0.737, 0.961, 24.740
Maven, 79, 49, 22, 3940, 0.782, 0.617, 0.690, 0.960, 23.993
Poi, 106, 22, 18, 3944, 0.855, 0.828, 0.841, 0.963, 26.315
SpringFramework, 93, 35, 11, 3951, 0.894, 0.727, 0.802, 0.965, 27.573
Storm, 85, 43, 18, 3944, 0.825, 0.664, 0.736, 0.962, 25.369
Tomcat, 76, 52, 18, 3944, 0.809, 0.594, 0.685, 0.961, 24.834
Zookeeper, 78, 50, 11, 3951, 0.876, 0.609, 0.719, 0.964, 27.004
