Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 26, 37, 31, 2597, 0.456, 0.413, 0.433, 0.949, 18.484
ArgoUML, 19, 44, 40, 2588, 0.322, 0.302, 0.311, 0.927, 12.755
Columba, 26, 37, 28, 2600, 0.481, 0.413, 0.444, 0.951, 19.566
EMF, 25, 38, 33, 2595, 0.431, 0.397, 0.413, 0.946, 17.411
Hibernate, 27, 36, 50, 2578, 0.351, 0.429, 0.386, 0.933, 13.978
JEdit, 23, 40, 112, 2516, 0.170, 0.365, 0.232, 0.863, 6.277
JFreeChart, 30, 33, 46, 2582, 0.395, 0.476, 0.432, 0.941, 15.861
JMeter, 21, 42, 22, 2606, 0.488, 0.333, 0.396, 0.952, 19.860
JRuby, 34, 29, 28, 2600, 0.548, 0.540, 0.544, 0.957, 22.424
SQuirrel, 25, 38, 22, 2606, 0.532, 0.397, 0.455, 0.956, 21.720
Dubbo, 25, 38, 26, 2602, 0.490, 0.397, 0.439, 0.952, 19.938
Gradle, 23, 40, 18, 2610, 0.561, 0.365, 0.442, 0.958, 22.962
Groovy, 24, 39, 28, 2600, 0.462, 0.381, 0.417, 0.949, 18.714
Hive, 34, 29, 26, 2602, 0.567, 0.540, 0.553, 0.959, 23.205
Maven, 24, 39, 46, 2582, 0.343, 0.381, 0.361, 0.932, 13.645
Poi, 32, 31, 21, 2607, 0.604, 0.508, 0.552, 0.961, 24.790
SpringFramework, 25, 38, 19, 2609, 0.568, 0.397, 0.467, 0.959, 23.269
Storm, 28, 35, 26, 2602, 0.519, 0.444, 0.479, 0.955, 21.148
Tomcat, 36, 27, 17, 2611, 0.679, 0.571, 0.621, 0.966, 28.013
