Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 152, 230, 138, 3131, 0.524, 0.398, 0.452, 0.800, 4.009
ArgoUML, 283, 99, 380, 2889, 0.427, 0.741, 0.542, 0.755, 3.080
Columba, 325, 57, 205, 3064, 0.613, 0.851, 0.713, 0.829, 4.861
EMF, 215, 167, 181, 3088, 0.543, 0.563, 0.553, 0.807, 4.189
Hibernate, 322, 60, 185, 3084, 0.635, 0.843, 0.724, 0.835, 5.070
JEdit, 254, 128, 290, 2979, 0.467, 0.665, 0.549, 0.776, 3.463
JFreeChart, 218, 164, 327, 2942, 0.400, 0.571, 0.470, 0.738, 2.823
JMeter, 320, 62, 187, 3082, 0.631, 0.838, 0.720, 0.834, 5.032
JRuby, 338, 44, 71, 3198, 0.826, 0.885, 0.855, 0.873, 6.898
SQuirrel, 215, 167, 250, 3019, 0.462, 0.563, 0.508, 0.774, 3.419
Dubbo, 142, 240, 263, 3006, 0.351, 0.372, 0.361, 0.702, 2.351
Gradle, 71, 311, 101, 3168, 0.413, 0.186, 0.256, 0.747, 2.945
Groovy, 250, 132, 106, 3163, 0.702, 0.654, 0.678, 0.851, 5.712
Hive, 324, 58, 170, 3099, 0.656, 0.848, 0.740, 0.840, 5.269
Maven, 210, 172, 205, 3064, 0.506, 0.550, 0.527, 0.793, 3.836
Poi, 302, 80, 189, 3080, 0.615, 0.791, 0.692, 0.830, 4.879
SpringFramework, 303, 79, 212, 3057, 0.588, 0.793, 0.676, 0.822, 4.623
Storm, 308, 74, 211, 3058, 0.593, 0.806, 0.684, 0.824, 4.672
Tomcat, 319, 63, 154, 3115, 0.674, 0.835, 0.746, 0.845, 5.446
Zookeeper, 252, 130, 190, 3079, 0.570, 0.660, 0.612, 0.816, 4.449
