Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 183, 65, 209, 3977, 0.467, 0.738, 0.572, 0.880, 7.347
ArgoUML, 165, 83, 568, 3618, 0.225, 0.665, 0.336, 0.752, 3.025
Columba, 177, 71, 555, 3631, 0.242, 0.714, 0.361, 0.769, 3.323
EMF, 197, 51, 234, 3952, 0.457, 0.794, 0.580, 0.878, 7.172
Hibernate, 200, 48, 318, 3868, 0.386, 0.806, 0.522, 0.855, 5.903
JEdit, 196, 52, 337, 3849, 0.368, 0.790, 0.502, 0.848, 5.575
JFreeChart, 179, 69, 310, 3876, 0.366, 0.722, 0.486, 0.847, 5.545
JMeter, 190, 58, 292, 3894, 0.394, 0.766, 0.521, 0.858, 6.048
JRuby, 188, 60, 313, 3873, 0.375, 0.758, 0.502, 0.851, 5.709
SQuirrel, 202, 46, 311, 3875, 0.394, 0.815, 0.531, 0.858, 6.040
Dubbo, 116, 132, 230, 3956, 0.335, 0.468, 0.391, 0.833, 4.994
Gradle, 46, 202, 148, 4038, 0.237, 0.185, 0.208, 0.764, 3.239
Groovy, 195, 53, 89, 4097, 0.687, 0.786, 0.733, 0.919, 11.276
Hive, 180, 68, 289, 3897, 0.384, 0.726, 0.502, 0.854, 5.862
Maven, 77, 171, 388, 3798, 0.166, 0.310, 0.216, 0.662, 1.961
Poi, 146, 102, 247, 3939, 0.372, 0.589, 0.456, 0.849, 5.642
SpringFramework, 190, 58, 199, 3987, 0.488, 0.766, 0.597, 0.885, 7.733
Storm, 200, 48, 296, 3890, 0.403, 0.806, 0.538, 0.861, 6.209
Tomcat, 159, 89, 288, 3898, 0.356, 0.641, 0.458, 0.843, 5.360
Zookeeper, 150, 98, 411, 3775, 0.267, 0.605, 0.371, 0.791, 3.780
