Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 103, 32, 126, 957, 0.450, 0.763, 0.566, 0.754, 3.058
ArgoUML, 90, 45, 178, 905, 0.336, 0.667, 0.447, 0.670, 2.030
Columba, 112, 23, 180, 903, 0.384, 0.830, 0.525, 0.711, 2.461
EMF, 102, 33, 107, 976, 0.488, 0.756, 0.593, 0.773, 3.403
Hibernate, 93, 42, 133, 950, 0.412, 0.689, 0.515, 0.731, 2.713
JEdit, 119, 16, 215, 868, 0.356, 0.881, 0.507, 0.689, 2.215
JFreeChart, 98, 37, 142, 941, 0.408, 0.726, 0.523, 0.729, 2.684
JMeter, 101, 34, 109, 974, 0.481, 0.748, 0.586, 0.770, 3.339
JRuby, 96, 39, 129, 954, 0.427, 0.711, 0.533, 0.740, 2.849
SQuirrel, 100, 35, 145, 938, 0.408, 0.741, 0.526, 0.728, 2.683
Dubbo, 81, 54, 142, 941, 0.363, 0.600, 0.453, 0.695, 2.277
Gradle, 80, 55, 93, 990, 0.462, 0.593, 0.519, 0.760, 3.172
Groovy, 95, 40, 165, 918, 0.365, 0.704, 0.481, 0.697, 2.297
Hive, 92, 43, 118, 965, 0.438, 0.681, 0.533, 0.747, 2.953
Maven, 91, 44, 47, 1036, 0.659, 0.674, 0.667, 0.832, 4.949
Poi, 104, 31, 132, 951, 0.441, 0.770, 0.561, 0.748, 2.976
SpringFramework, 98, 37, 135, 948, 0.421, 0.726, 0.533, 0.736, 2.795
Storm, 97, 38, 130, 953, 0.427, 0.719, 0.536, 0.741, 2.855
Tomcat, 95, 40, 119, 964, 0.444, 0.704, 0.544, 0.750, 3.005
Zookeeper, 103, 32, 119, 964, 0.464, 0.763, 0.577, 0.761, 3.186
