Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 40, 22, 327, 2301, 0.109, 0.645, 0.186, 0.789, 3.729
ArgoUML, 33, 29, 366, 2262, 0.083, 0.532, 0.143, 0.721, 2.588
Columba, 44, 18, 354, 2274, 0.111, 0.710, 0.191, 0.792, 3.797
EMF, 34, 28, 252, 2376, 0.119, 0.548, 0.195, 0.806, 4.158
Hibernate, 34, 28, 286, 2342, 0.106, 0.548, 0.178, 0.783, 3.610
JEdit, 48, 14, 490, 2138, 0.089, 0.774, 0.160, 0.742, 2.871
JFreeChart, 36, 26, 293, 2335, 0.109, 0.581, 0.184, 0.789, 3.748
JMeter, 38, 24, 232, 2396, 0.141, 0.613, 0.229, 0.836, 5.106
JRuby, 39, 23, 282, 2346, 0.121, 0.629, 0.204, 0.810, 4.271
SQuirrel, 31, 31, 258, 2370, 0.107, 0.500, 0.177, 0.785, 3.654
Dubbo, 31, 31, 305, 2323, 0.092, 0.500, 0.156, 0.750, 3.003
Gradle, 22, 40, 144, 2484, 0.133, 0.355, 0.193, 0.826, 4.750
Groovy, 39, 23, 330, 2298, 0.106, 0.629, 0.181, 0.782, 3.586
Hive, 42, 20, 267, 2361, 0.136, 0.677, 0.226, 0.830, 4.897
Maven, 29, 33, 391, 2237, 0.069, 0.468, 0.120, 0.666, 1.996
Poi, 40, 22, 274, 2354, 0.127, 0.645, 0.213, 0.819, 4.527
SpringFramework, 34, 28, 268, 2360, 0.113, 0.548, 0.187, 0.795, 3.885
Storm, 39, 23, 211, 2417, 0.156, 0.629, 0.250, 0.852, 5.768
Tomcat, 38, 24, 175, 2453, 0.178, 0.613, 0.276, 0.871, 6.740
Zookeeper, 54, 8, 201, 2427, 0.212, 0.871, 0.341, 0.891, 8.188
