Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 150, 50, 295, 3977, 0.337, 0.750, 0.465, 0.867, 6.537
ArgoUML, 126, 74, 492, 3780, 0.204, 0.630, 0.308, 0.781, 3.559
Columba, 154, 46, 504, 3768, 0.234, 0.770, 0.359, 0.809, 4.233
EMF, 128, 72, 243, 4029, 0.345, 0.640, 0.448, 0.870, 6.715
Hibernate, 138, 62, 291, 3981, 0.322, 0.690, 0.439, 0.861, 6.193
JEdit, 153, 47, 572, 3700, 0.211, 0.765, 0.331, 0.788, 3.719
JFreeChart, 138, 62, 344, 3928, 0.286, 0.690, 0.405, 0.844, 5.402
JMeter, 142, 58, 264, 4008, 0.350, 0.710, 0.469, 0.872, 6.820
JRuby, 135, 65, 247, 4025, 0.353, 0.675, 0.464, 0.873, 6.902
SQuirrel, 165, 35, 281, 3991, 0.370, 0.825, 0.511, 0.879, 7.272
Dubbo, 102, 98, 367, 3905, 0.217, 0.510, 0.305, 0.794, 3.863
Gradle, 96, 104, 178, 4094, 0.350, 0.480, 0.405, 0.872, 6.834
Groovy, 138, 62, 380, 3892, 0.266, 0.690, 0.384, 0.832, 4.957
Hive, 130, 70, 312, 3960, 0.294, 0.650, 0.405, 0.848, 5.576
Maven, 92, 108, 408, 3864, 0.184, 0.460, 0.263, 0.757, 3.114
Poi, 140, 60, 477, 3795, 0.227, 0.700, 0.343, 0.803, 4.074
SpringFramework, 137, 63, 327, 3945, 0.295, 0.685, 0.413, 0.849, 5.602
Storm, 143, 57, 318, 3954, 0.310, 0.715, 0.433, 0.856, 5.936
Tomcat, 131, 69, 315, 3957, 0.294, 0.655, 0.406, 0.848, 5.568
Zookeeper, 147, 53, 369, 3903, 0.285, 0.735, 0.411, 0.843, 5.370
