TP, FN, FP, TN, P    , R    , F1   , ER   , RI
58, 43, 59, 2891, 0.496, 0.574, 0.532, 0.933, 13.975
839, 129, 243, 4214, 0.775, 0.867, 0.819, 0.770, 3.346
95, 32, 25, 3937, 0.792, 0.748, 0.769, 0.961, 24.489
28, 45, 44, 2467, 0.389, 0.384, 0.386, 0.927, 12.766
268, 108, 65, 2050, 0.805, 0.713, 0.756, 0.812, 4.332
81, 113, 57, 4392, 0.587, 0.418, 0.488, 0.929, 13.048
71, 29, 35, 2358, 0.670, 0.710, 0.689, 0.940, 15.698
209, 72, 83, 3783, 0.716, 0.744, 0.729, 0.905, 9.563
320, 62, 89, 3180, 0.782, 0.838, 0.809, 0.866, 6.478
130, 70, 84, 4188, 0.607, 0.650, 0.628, 0.926, 12.583
54, 30, 28, 1536, 0.659, 0.643, 0.651, 0.923, 11.920
229, 91, 206, 2797, 0.526, 0.716, 0.607, 0.817, 4.467
188, 60, 147, 4039, 0.561, 0.758, 0.645, 0.900, 9.034
757, 288, 887, 27407, 0.460, 0.724, 0.563, 0.923, 11.928
94, 41, 46, 1037, 0.671, 0.696, 0.684, 0.835, 5.058
453, 164, 298, 14117, 0.603, 0.734, 0.662, 0.932, 13.696
64, 33, 146, 7468, 0.305, 0.660, 0.417, 0.959, 23.227
59, 32, 105, 3442, 0.360, 0.648, 0.463, 0.930, 13.382
211, 75, 274, 11657, 0.435, 0.738, 0.547, 0.946, 17.584
37, 25, 39, 2589, 0.487, 0.597, 0.536, 0.953, 20.123
