Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 27.5, 74.5, 34.9, 2915.1, 0.463, 0.270, 0.331, 0.925, 12.842
ArgoUML, 774.6, 194.4, 183.8, 4273.2, 0.809, 0.799, 0.800, 0.779, 3.528
Columba, 84.0, 44.0, 20.7, 3941.3, 0.811, 0.656, 0.718, 0.961, 24.904
EMF, 24.5, 49.5, 28.8, 2482.2, 0.515, 0.331, 0.389, 0.939, 16.984
Hibernate, 241.6, 135.4, 38.6, 2076.4, 0.865, 0.641, 0.733, 0.824, 4.717
JEdit, 37.1, 157.9, 23.6, 4425.4, 0.618, 0.190, 0.286, 0.930, 13.719
JFreeChart, 50.8, 50.2, 21.2, 2371.8, 0.721, 0.503, 0.580, 0.943, 16.809
JMeter, 178.4, 103.6, 47.2, 3818.8, 0.796, 0.633, 0.701, 0.913, 10.711
JRuby, 223.5, 159.5, 51.6, 3217.4, 0.811, 0.584, 0.669, 0.870, 6.735
SQuirrel, 112.3, 88.7, 56.0, 4216.0, 0.675, 0.559, 0.609, 0.932, 14.011
Dubbo, 42.3, 42.7, 22.7, 1541.3, 0.648, 0.497, 0.555, 0.920, 11.562
Gradle, 223.7, 97.3, 159.0, 2844.0, 0.590, 0.697, 0.635, 0.835, 5.108
Groovy, 173.1, 75.9, 110.9, 4075.1, 0.614, 0.695, 0.649, 0.907, 9.935
Hive, 688.3, 357.7, 538.7, 27755.3, 0.578, 0.658, 0.611, 0.936, 15.210
Maven, 88.2, 47.8, 44.0, 1039.0, 0.675, 0.649, 0.658, 0.833, 5.050
Poi, 396.8, 221.2, 191.5, 14223.5, 0.682, 0.642, 0.656, 0.937, 15.591
SpringFramework, 55.9, 42.1, 87.1, 7526.9, 0.429, 0.570, 0.480, 0.965, 32.745
Storm, 49.9, 42.1, 60.2, 3486.8, 0.486, 0.543, 0.504, 0.943, 18.234
Tomcat, 143.8, 143.2, 176.1, 11754.9, 0.467, 0.501, 0.477, 0.947, 18.866
Zookeeper, 27.7, 35.3, 39.6, 2588.4, 0.436, 0.439, 0.432, 0.942, 17.618
