Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 24, 61, 14, 1550, 0.632, 0.282, 0.390, 0.918, 11.253
ArgoUML, 35, 50, 25, 1539, 0.583, 0.412, 0.483, 0.912, 10.317
Columba, 55, 30, 23, 1541, 0.705, 0.647, 0.675, 0.927, 12.679
EMF, 36, 49, 26, 1538, 0.581, 0.424, 0.490, 0.911, 10.265
Hibernate, 43, 42, 26, 1538, 0.623, 0.506, 0.558, 0.917, 11.090
JEdit, 29, 56, 23, 1541, 0.558, 0.341, 0.423, 0.908, 9.819
JFreeChart, 58, 27, 46, 1518, 0.558, 0.682, 0.614, 0.908, 9.819
JMeter, 46, 39, 22, 1542, 0.676, 0.541, 0.601, 0.924, 12.124
JRuby, 56, 29, 18, 1546, 0.757, 0.659, 0.704, 0.932, 13.681
SQuirrel, 35, 50, 22, 1542, 0.614, 0.412, 0.493, 0.916, 10.912
Gradle, 25, 60, 14, 1550, 0.641, 0.294, 0.403, 0.920, 11.436
Groovy, 39, 46, 13, 1551, 0.750, 0.459, 0.569, 0.931, 13.550
Hive, 56, 29, 22, 1542, 0.718, 0.659, 0.687, 0.928, 12.928
Maven, 28, 57, 22, 1542, 0.560, 0.329, 0.415, 0.908, 9.864
Poi, 61, 24, 22, 1542, 0.735, 0.718, 0.726, 0.930, 13.258
SpringFramework, 47, 38, 19, 1545, 0.712, 0.553, 0.623, 0.928, 12.815
Storm, 41, 44, 23, 1541, 0.641, 0.482, 0.550, 0.920, 11.428
Tomcat, 49, 36, 26, 1538, 0.653, 0.576, 0.612, 0.921, 11.675
Zookeeper, 40, 45, 26, 1538, 0.606, 0.471, 0.530, 0.915, 10.758
