Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 17, 45, 135, 2493, 0.112, 0.274, 0.159, 0.794, 3.853
ArgoUML, 33, 29, 366, 2262, 0.083, 0.532, 0.143, 0.721, 2.588
Columba, 37, 25, 186, 2442, 0.166, 0.597, 0.260, 0.861, 6.199
EMF, 34, 28, 303, 2325, 0.101, 0.548, 0.170, 0.772, 3.377
Hibernate, 32, 30, 270, 2358, 0.106, 0.516, 0.176, 0.782, 3.597
JEdit, 33, 29, 194, 2434, 0.145, 0.532, 0.228, 0.841, 5.307
JFreeChart, 27, 35, 184, 2444, 0.128, 0.435, 0.198, 0.820, 4.552
JMeter, 26, 36, 94, 2534, 0.217, 0.419, 0.286, 0.894, 8.401
JRuby, 34, 28, 190, 2438, 0.152, 0.548, 0.238, 0.848, 5.586
SQuirrel, 28, 34, 150, 2478, 0.157, 0.452, 0.233, 0.853, 5.825
Dubbo, 14, 48, 181, 2447, 0.072, 0.226, 0.109, 0.679, 2.115
Gradle, 9, 53, 91, 2537, 0.090, 0.145, 0.111, 0.744, 2.905
Groovy, 24, 38, 178, 2450, 0.119, 0.387, 0.182, 0.806, 4.155
Hive, 40, 22, 117, 2511, 0.255, 0.645, 0.365, 0.910, 10.054
Maven, 16, 46, 213, 2415, 0.070, 0.258, 0.110, 0.670, 2.031
Poi, 30, 32, 204, 2424, 0.128, 0.484, 0.203, 0.820, 4.562
SpringFramework, 26, 36, 151, 2477, 0.147, 0.419, 0.218, 0.843, 5.373
Storm, 31, 31, 120, 2508, 0.205, 0.500, 0.291, 0.888, 7.907
Tomcat, 31, 31, 98, 2530, 0.240, 0.500, 0.325, 0.904, 9.426
Zookeeper, 51, 11, 77, 2551, 0.398, 0.823, 0.537, 0.942, 16.287
