TP, FN, FP, TN, P    , R    , F1   , ER   , RI
56, 45, 103, 2847, 0.352, 0.554, 0.431, 0.906, 9.639
907, 61, 334, 4123, 0.731, 0.937, 0.821, 0.756, 3.096
114, 13, 64, 3898, 0.640, 0.898, 0.748, 0.952, 19.620
41, 32, 104, 2407, 0.283, 0.562, 0.376, 0.900, 9.009
306, 70, 130, 1985, 0.702, 0.814, 0.754, 0.785, 3.650
103, 91, 70, 4379, 0.595, 0.531, 0.561, 0.930, 13.249
79, 21, 78, 2315, 0.503, 0.790, 0.615, 0.920, 11.544
231, 50, 97, 3769, 0.704, 0.822, 0.759, 0.904, 9.394
349, 33, 130, 3139, 0.729, 0.914, 0.811, 0.856, 5.964
153, 47, 126, 4146, 0.548, 0.765, 0.639, 0.918, 11.262
65, 19, 56, 1508, 0.537, 0.774, 0.634, 0.905, 9.539
259, 61, 317, 2686, 0.450, 0.809, 0.578, 0.786, 3.669
219, 29, 228, 3958, 0.490, 0.883, 0.630, 0.886, 7.760
860, 185, 1313, 26981, 0.396, 0.823, 0.534, 0.910, 10.111
109, 26, 88, 995, 0.553, 0.807, 0.657, 0.800, 3.992
548, 69, 654, 13761, 0.456, 0.888, 0.603, 0.910, 10.107
78, 19, 281, 7333, 0.217, 0.804, 0.342, 0.942, 16.272
67, 24, 120, 3427, 0.358, 0.736, 0.482, 0.930, 13.324
226, 60, 450, 11481, 0.334, 0.790, 0.470, 0.930, 13.281
41, 21, 99, 2529, 0.293, 0.661, 0.406, 0.921, 11.706
