TP, FN, FP, TN, P    , R    , F1   , ER   , RI
56, 45, 58, 2892, 0.491, 0.554, 0.521, 0.933, 13.839
841, 127, 249, 4208, 0.772, 0.869, 0.817, 0.769, 3.324
110, 17, 33, 3929, 0.769, 0.866, 0.815, 0.960, 23.767
34, 39, 57, 2454, 0.374, 0.466, 0.415, 0.924, 12.225
276, 100, 72, 2043, 0.793, 0.734, 0.762, 0.810, 4.254
84, 110, 74, 4375, 0.532, 0.433, 0.477, 0.921, 11.724
66, 34, 43, 2350, 0.606, 0.660, 0.632, 0.934, 14.095
202, 79, 73, 3793, 0.735, 0.719, 0.727, 0.908, 9.840
319, 63, 110, 3159, 0.744, 0.835, 0.787, 0.859, 6.107
130, 70, 94, 4178, 0.580, 0.650, 0.613, 0.923, 11.977
57, 27, 30, 1534, 0.655, 0.679, 0.667, 0.922, 11.854
231, 89, 220, 2783, 0.512, 0.722, 0.599, 0.812, 4.319
194, 54, 159, 4027, 0.550, 0.782, 0.646, 0.898, 8.826
765, 280, 872, 27422, 0.467, 0.732, 0.570, 0.924, 12.120
89, 46, 49, 1034, 0.645, 0.659, 0.652, 0.828, 4.819
460, 157, 353, 14062, 0.566, 0.746, 0.643, 0.927, 12.785
63, 34, 190, 7424, 0.249, 0.649, 0.360, 0.949, 18.795
56, 35, 111, 3436, 0.335, 0.615, 0.434, 0.925, 12.406
218, 68, 327, 11604, 0.400, 0.762, 0.525, 0.941, 16.087
36, 26, 50, 2578, 0.419, 0.581, 0.486, 0.945, 17.162
