Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 147, 173, 264, 2739, 0.358, 0.459, 0.402, 0.731, 2.714
ArgoUML, 224, 96, 603, 2400, 0.271, 0.700, 0.391, 0.644, 1.813
Columba, 197, 123, 435, 2568, 0.312, 0.616, 0.414, 0.691, 2.237
EMF, 222, 98, 361, 2642, 0.381, 0.694, 0.492, 0.747, 2.954
Hibernate, 216, 104, 465, 2538, 0.317, 0.675, 0.432, 0.696, 2.294
JEdit, 238, 82, 478, 2525, 0.332, 0.744, 0.459, 0.710, 2.452
JFreeChart, 215, 105, 368, 2635, 0.369, 0.672, 0.476, 0.739, 2.830
JMeter, 199, 121, 308, 2695, 0.393, 0.622, 0.481, 0.755, 3.076
JRuby, 213, 107, 380, 2623, 0.359, 0.666, 0.467, 0.732, 2.730
SQuirrel, 222, 98, 379, 2624, 0.369, 0.694, 0.482, 0.739, 2.836
Dubbo, 77, 243, 227, 2776, 0.253, 0.241, 0.247, 0.620, 1.630
Gradle, 193, 127, 31, 2972, 0.862, 0.603, 0.710, 0.888, 7.947
Groovy, 146, 174, 223, 2780, 0.396, 0.456, 0.424, 0.757, 3.109
Hive, 199, 121, 268, 2735, 0.426, 0.622, 0.506, 0.774, 3.425
Maven, 89, 231, 287, 2716, 0.237, 0.278, 0.256, 0.593, 1.458
Poi, 176, 144, 328, 2675, 0.349, 0.550, 0.427, 0.724, 2.626
SpringFramework, 177, 143, 257, 2746, 0.408, 0.553, 0.469, 0.764, 3.235
Storm, 195, 125, 307, 2696, 0.388, 0.609, 0.474, 0.752, 3.034
Tomcat, 193, 127, 316, 2687, 0.379, 0.603, 0.466, 0.746, 2.937
Zookeeper, 139, 181, 287, 2716, 0.326, 0.434, 0.373, 0.705, 2.388
