Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 69, 66, 66, 1017, 0.511, 0.511, 0.511, 0.783, 3.611
ArgoUML, 90, 45, 178, 905, 0.336, 0.667, 0.447, 0.670, 2.030
Columba, 92, 43, 106, 977, 0.465, 0.681, 0.553, 0.761, 3.192
EMF, 103, 32, 115, 968, 0.472, 0.763, 0.584, 0.765, 3.263
Hibernate, 95, 40, 127, 956, 0.428, 0.704, 0.532, 0.741, 2.861
JEdit, 99, 36, 112, 971, 0.469, 0.733, 0.572, 0.764, 3.233
JFreeChart, 93, 42, 83, 1000, 0.528, 0.689, 0.598, 0.790, 3.767
JMeter, 89, 46, 76, 1007, 0.539, 0.659, 0.593, 0.795, 3.867
JRuby, 94, 41, 118, 965, 0.443, 0.696, 0.542, 0.750, 3.000
SQuirrel, 92, 43, 104, 979, 0.469, 0.681, 0.556, 0.764, 3.235
Dubbo, 45, 90, 79, 1004, 0.363, 0.333, 0.347, 0.695, 2.274
Gradle, 35, 100, 56, 1027, 0.385, 0.259, 0.310, 0.712, 2.470
Groovy, 59, 76, 59, 1024, 0.500, 0.437, 0.466, 0.778, 3.511
Hive, 91, 44, 95, 988, 0.489, 0.674, 0.567, 0.773, 3.414
Maven, 85, 50, 9, 1074, 0.904, 0.630, 0.742, 0.877, 7.158
Poi, 84, 51, 91, 992, 0.480, 0.622, 0.542, 0.769, 3.331
SpringFramework, 76, 59, 84, 999, 0.475, 0.563, 0.515, 0.767, 3.286
Storm, 86, 49, 97, 986, 0.470, 0.637, 0.541, 0.764, 3.240
Tomcat, 95, 40, 112, 971, 0.459, 0.704, 0.556, 0.758, 3.141
Zookeeper, 68, 67, 68, 1015, 0.500, 0.504, 0.502, 0.778, 3.511
