Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 148, 138, 594, 11337, 0.199, 0.517, 0.288, 0.883, 7.520
ArgoUML, 204, 82, 1684, 10247, 0.108, 0.713, 0.188, 0.783, 3.616
Columba, 207, 79, 988, 10943, 0.173, 0.724, 0.280, 0.865, 6.399
EMF, 157, 129, 971, 10960, 0.139, 0.549, 0.222, 0.832, 4.946
Hibernate, 196, 90, 980, 10951, 0.167, 0.685, 0.268, 0.860, 6.119
JEdit, 180, 106, 1108, 10823, 0.140, 0.629, 0.229, 0.832, 4.970
JFreeChart, 172, 114, 861, 11070, 0.167, 0.601, 0.261, 0.859, 6.113
JMeter, 178, 108, 520, 11411, 0.255, 0.622, 0.362, 0.908, 9.893
JRuby, 187, 99, 624, 11307, 0.231, 0.654, 0.341, 0.898, 8.850
SQuirrel, 158, 128, 767, 11164, 0.171, 0.552, 0.261, 0.863, 6.296
Dubbo, 103, 183, 683, 11248, 0.131, 0.360, 0.192, 0.821, 4.598
Gradle, 60, 226, 325, 11606, 0.156, 0.210, 0.179, 0.850, 5.657
Groovy, 128, 158, 406, 11525, 0.240, 0.448, 0.312, 0.902, 9.239
Hive, 202, 84, 647, 11284, 0.238, 0.706, 0.356, 0.902, 9.163
Maven, 114, 172, 919, 11012, 0.110, 0.399, 0.173, 0.788, 3.714
Poi, 189, 97, 741, 11190, 0.203, 0.661, 0.311, 0.885, 7.681
SpringFramework, 162, 124, 729, 11202, 0.182, 0.566, 0.275, 0.871, 6.767
Storm, 188, 98, 846, 11085, 0.182, 0.657, 0.285, 0.871, 6.767
Tomcat, 228, 58, 447, 11484, 0.338, 0.797, 0.475, 0.931, 13.429
Zookeeper, 195, 91, 610, 11321, 0.242, 0.682, 0.357, 0.903, 9.348
