Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 41, 60, 63, 2330, 0.394, 0.406, 0.400, 0.897, 8.735
ArgoUML, 41, 60, 22, 2371, 0.651, 0.406, 0.500, 0.938, 15.070
Columba, 72, 29, 45, 2348, 0.615, 0.713, 0.661, 0.934, 14.196
EMF, 52, 49, 41, 2352, 0.559, 0.515, 0.536, 0.928, 12.807
Hibernate, 60, 41, 40, 2353, 0.600, 0.594, 0.597, 0.933, 13.816
JEdit, 43, 58, 131, 2262, 0.247, 0.426, 0.313, 0.836, 5.102
JMeter, 60, 41, 36, 2357, 0.625, 0.594, 0.609, 0.935, 14.433
JRuby, 76, 25, 40, 2353, 0.655, 0.752, 0.700, 0.938, 15.178
SQuirrel, 55, 46, 28, 2365, 0.663, 0.545, 0.598, 0.939, 15.363
Dubbo, 74, 27, 55, 2338, 0.574, 0.733, 0.643, 0.929, 13.165
Gradle, 41, 60, 18, 2375, 0.695, 0.406, 0.513, 0.942, 16.160
Groovy, 56, 45, 13, 2380, 0.812, 0.554, 0.659, 0.950, 19.041
Hive, 77, 24, 49, 2344, 0.611, 0.762, 0.678, 0.934, 14.090
Maven, 61, 40, 36, 2357, 0.629, 0.604, 0.616, 0.936, 14.529
Poi, 72, 29, 47, 2346, 0.605, 0.713, 0.655, 0.933, 13.940
SpringFramework, 60, 41, 32, 2361, 0.652, 0.594, 0.622, 0.938, 15.104
Storm, 58, 43, 39, 2354, 0.598, 0.574, 0.586, 0.932, 13.765
Tomcat, 76, 25, 60, 2333, 0.559, 0.752, 0.641, 0.928, 12.799
Zookeeper, 60, 41, 56, 2337, 0.517, 0.594, 0.553, 0.922, 11.772
