Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 42, 21, 200, 2428, 0.174, 0.667, 0.275, 0.865, 6.413
ArgoUML, 22, 41, 48, 2580, 0.314, 0.349, 0.331, 0.926, 12.424
Columba, 35, 28, 116, 2512, 0.232, 0.556, 0.327, 0.899, 8.901
EMF, 31, 32, 163, 2465, 0.160, 0.492, 0.241, 0.853, 5.825
Hibernate, 32, 31, 98, 2530, 0.246, 0.508, 0.332, 0.905, 9.514
JEdit, 41, 22, 373, 2255, 0.099, 0.651, 0.172, 0.764, 3.230
JFreeChart, 40, 23, 195, 2433, 0.170, 0.635, 0.268, 0.862, 6.271
JMeter, 27, 36, 113, 2515, 0.193, 0.429, 0.266, 0.879, 7.238
JRuby, 40, 23, 65, 2563, 0.381, 0.635, 0.476, 0.939, 15.272
SQuirrel, 33, 30, 69, 2559, 0.324, 0.524, 0.400, 0.928, 12.819
Dubbo, 36, 27, 96, 2532, 0.273, 0.571, 0.369, 0.914, 10.649
Gradle, 31, 32, 51, 2577, 0.378, 0.492, 0.428, 0.938, 15.148
Groovy, 30, 33, 78, 2550, 0.278, 0.476, 0.351, 0.916, 10.865
Hive, 38, 25, 63, 2565, 0.376, 0.603, 0.463, 0.938, 15.071
Maven, 33, 30, 97, 2531, 0.254, 0.524, 0.342, 0.908, 9.843
Poi, 37, 26, 56, 2572, 0.398, 0.587, 0.474, 0.941, 15.994
SpringFramework, 29, 34, 49, 2579, 0.372, 0.460, 0.411, 0.937, 14.881
Storm, 40, 23, 168, 2460, 0.192, 0.635, 0.295, 0.878, 7.214
Tomcat, 45, 18, 83, 2545, 0.352, 0.714, 0.471, 0.933, 14.017
