Training project, TP, FN, FP, TN, P, R, F1, ER, RI
ArgoUML, 40, 62, 62, 2888, 0.392, 0.392, 0.392, 0.915, 10.734
Columba, 41, 61, 79, 2871, 0.342, 0.402, 0.369, 0.902, 9.223
EMF, 34, 68, 139, 2811, 0.197, 0.333, 0.247, 0.830, 4.881
Hibernate, 39, 63, 95, 2855, 0.291, 0.382, 0.331, 0.885, 7.709
JEdit, 59, 43, 305, 2645, 0.162, 0.578, 0.253, 0.794, 3.850
JFreeChart, 39, 63, 174, 2776, 0.183, 0.382, 0.248, 0.817, 4.479
JMeter, 38, 64, 88, 2862, 0.302, 0.373, 0.333, 0.889, 8.024
JRuby, 42, 60, 39, 2911, 0.519, 0.412, 0.459, 0.936, 14.515
SQuirrel, 37, 65, 93, 2857, 0.285, 0.363, 0.319, 0.883, 7.516
Dubbo, 26, 76, 88, 2862, 0.228, 0.255, 0.241, 0.853, 5.824
Gradle, 25, 77, 48, 2902, 0.342, 0.245, 0.286, 0.902, 9.247
Groovy, 31, 71, 44, 2906, 0.413, 0.304, 0.350, 0.919, 11.368
Hive, 40, 62, 80, 2870, 0.333, 0.392, 0.360, 0.900, 8.974
Maven, 39, 63, 116, 2834, 0.252, 0.382, 0.304, 0.867, 6.529
Poi, 37, 65, 57, 2893, 0.394, 0.363, 0.378, 0.915, 10.778
SpringFramework, 28, 74, 63, 2887, 0.308, 0.275, 0.290, 0.891, 8.207
Storm, 36, 66, 124, 2826, 0.225, 0.353, 0.275, 0.851, 5.732
Tomcat, 53, 49, 84, 2866, 0.387, 0.520, 0.444, 0.914, 10.575
Zookeeper, 52, 50, 133, 2817, 0.281, 0.510, 0.362, 0.881, 7.410
