Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 38.7, 63.3, 100.6, 2849.4, 0.307, 0.380, 0.328, 0.881, 8.188
ArgoUML, 866.3, 102.7, 302.1, 4154.9, 0.743, 0.894, 0.811, 0.758, 3.159
Columba, 98.1, 29.9, 62.3, 3899.7, 0.644, 0.766, 0.692, 0.948, 19.569
EMF, 31.8, 42.2, 82.6, 2428.4, 0.332, 0.430, 0.356, 0.901, 10.598
Hibernate, 276.1, 100.9, 97.5, 2017.5, 0.751, 0.732, 0.739, 0.795, 3.965
JEdit, 64.2, 130.8, 81.9, 4367.1, 0.481, 0.329, 0.374, 0.908, 10.462
JFreeChart, 59.7, 41.3, 44.8, 2348.2, 0.593, 0.591, 0.583, 0.927, 13.635
JMeter, 199.8, 82.2, 118.3, 3747.7, 0.650, 0.708, 0.673, 0.890, 8.566
JRuby, 269.1, 113.9, 120.0, 3149.0, 0.701, 0.703, 0.694, 0.847, 5.687
SQuirrel, 134.7, 66.3, 142.9, 4129.1, 0.509, 0.670, 0.572, 0.907, 10.337
Dubbo, 50.2, 34.8, 45.3, 1518.7, 0.535, 0.590, 0.556, 0.900, 9.385
Gradle, 257.2, 63.8, 292.7, 2710.3, 0.478, 0.801, 0.595, 0.793, 3.945
Groovy, 196.1, 52.9, 230.9, 3955.1, 0.477, 0.788, 0.589, 0.876, 7.487
Hive, 794.1, 251.9, 1325.8, 26968.2, 0.409, 0.759, 0.523, 0.904, 10.466
Maven, 101.1, 34.9, 78.7, 1004.3, 0.575, 0.743, 0.645, 0.802, 4.156
Poi, 468.2, 149.8, 466.1, 13948.9, 0.532, 0.758, 0.618, 0.915, 11.944
SpringFramework, 66.7, 31.3, 252.7, 7361.3, 0.249, 0.681, 0.356, 0.936, 18.620
Storm, 59.8, 32.2, 157.5, 3389.5, 0.312, 0.650, 0.412, 0.908, 11.359
Tomcat, 180.5, 106.5, 468.2, 11462.8, 0.307, 0.629, 0.403, 0.916, 12.076
Zookeeper, 34.8, 28.2, 114.8, 2513.2, 0.272, 0.553, 0.352, 0.901, 10.610
