TP, FN, FP, TN, P    , R    , F1   , ER   , RI
54, 47, 44, 2906, 0.551, 0.535, 0.543, 0.940, 15.645
801, 167, 193, 4264, 0.806, 0.827, 0.817, 0.779, 3.516
97, 30, 22, 3940, 0.815, 0.764, 0.789, 0.962, 25.244
29, 44, 36, 2475, 0.446, 0.397, 0.420, 0.937, 14.793
250, 126, 44, 2071, 0.850, 0.665, 0.746, 0.822, 4.634
79, 115, 43, 4406, 0.648, 0.407, 0.500, 0.935, 14.498
64, 36, 34, 2359, 0.653, 0.640, 0.646, 0.939, 15.281
204, 77, 56, 3810, 0.785, 0.726, 0.754, 0.914, 10.579
300, 82, 66, 3203, 0.820, 0.785, 0.802, 0.872, 6.834
118, 82, 75, 4197, 0.611, 0.590, 0.601, 0.927, 12.671
54, 30, 23, 1541, 0.701, 0.643, 0.671, 0.927, 12.759
217, 103, 166, 2837, 0.567, 0.678, 0.617, 0.830, 4.884
185, 63, 115, 4071, 0.617, 0.746, 0.675, 0.909, 10.025
713, 332, 654, 27640, 0.522, 0.682, 0.591, 0.932, 13.644
86, 49, 39, 1044, 0.688, 0.637, 0.662, 0.839, 5.207
433, 184, 229, 14186, 0.654, 0.702, 0.677, 0.937, 14.935
62, 35, 121, 7493, 0.339, 0.639, 0.443, 0.963, 25.933
58, 33, 73, 3474, 0.443, 0.637, 0.523, 0.944, 16.700
205, 81, 218, 11713, 0.485, 0.717, 0.578, 0.952, 19.702
29, 33, 44, 2584, 0.397, 0.468, 0.430, 0.942, 16.236
