TP, FN, FP, TN, P    , R    , F1   , ER   , RI
53, 48, 52, 2898, 0.505, 0.525, 0.515, 0.934, 14.248
814, 154, 232, 4225, 0.778, 0.841, 0.808, 0.771, 3.361
102, 25, 29, 3933, 0.779, 0.803, 0.791, 0.960, 24.069
27, 46, 33, 2478, 0.450, 0.370, 0.406, 0.937, 14.929
257, 119, 58, 2057, 0.816, 0.684, 0.744, 0.815, 4.405
76, 118, 54, 4395, 0.585, 0.392, 0.469, 0.929, 12.992
69, 31, 38, 2355, 0.645, 0.690, 0.667, 0.938, 15.076
205, 76, 65, 3801, 0.759, 0.730, 0.744, 0.911, 10.205
307, 75, 76, 3193, 0.802, 0.804, 0.803, 0.869, 6.661
121, 79, 89, 4183, 0.576, 0.605, 0.590, 0.922, 11.884
53, 31, 23, 1541, 0.697, 0.631, 0.663, 0.927, 12.682
222, 98, 186, 2817, 0.544, 0.694, 0.610, 0.823, 4.650
183, 65, 144, 4042, 0.560, 0.738, 0.637, 0.900, 9.006
736, 309, 724, 27570, 0.504, 0.704, 0.588, 0.929, 13.153
89, 46, 42, 1041, 0.679, 0.659, 0.669, 0.837, 5.130
445, 172, 285, 14130, 0.610, 0.721, 0.661, 0.933, 13.851
62, 35, 150, 7464, 0.292, 0.639, 0.401, 0.957, 22.248
58, 33, 94, 3453, 0.382, 0.637, 0.477, 0.934, 14.255
208, 78, 244, 11687, 0.460, 0.727, 0.564, 0.949, 18.657
33, 29, 41, 2587, 0.446, 0.532, 0.485, 0.948, 18.348
