Project,Method,Metric,CV_Value,Experiment
Groovy,CNN,MCC_CV,0.0518480923963459,OTO
Hive,CNN,MCC_CV,0.0354851610315798,OTO
Maven,CNN,MCC_CV,0.0619057575638138,OTO
Poi,CNN,MCC_CV,0.0341597291870631,OTO
SpringFramework,CNN,MCC_CV,0.0287877627892715,OTO
Storm,CNN,MCC_CV,0.0300786245801163,OTO
Tomcat,CNN,MCC_CV,0.0488441618102443,OTO
Zookeeper,CNN,MCC_CV,0.073223007499562,OTO
Ant,NLP,F1_CV,0.0606659620567684,OTO
ArgoUML,NLP,F1_CV,0.0224486620581851,OTO
Columba,NLP,F1_CV,0.0617269484202306,OTO
EMF,NLP,F1_CV,0.0882305673880672,OTO
Hibernate,NLP,F1_CV,0.0272076257188193,OTO
JEdit,NLP,F1_CV,0.1593599717174755,OTO
JFreeChart,NLP,F1_CV,0.0496554639857653,OTO
JMeter,NLP,F1_CV,0.0572818211559567,OTO
JRuby,NLP,F1_CV,0.0281524296350196,OTO
SQuirrel,NLP,F1_CV,0.0705149917029647,OTO
Dubbo,NLP,F1_CV,0.0406151905078468,OTO
Gradle,NLP,F1_CV,0.0576901230748198,OTO
Groovy,NLP,F1_CV,0.0790419417521534,OTO
Hive,NLP,F1_CV,0.1183010382591988,OTO
Maven,NLP,F1_CV,0.0301286679717049,OTO
Poi,NLP,F1_CV,0.0745124007050606,OTO
SpringFramework,NLP,F1_CV,0.178871477284909,OTO
Storm,NLP,F1_CV,0.1460030655323615,OTO
Tomcat,NLP,F1_CV,0.1174773705148785,OTO
Zookeeper,NLP,F1_CV,0.1348342979393584,OTO
Ant,TM,F1_CV,0.1323061480325826,OTO
ArgoUML,TM,F1_CV,0.0350756040261465,OTO
Columba,TM,F1_CV,0.1400132862117915,OTO
EMF,TM,F1_CV,0.1373364510307955,OTO
Hibernate,TM,F1_CV,0.0463088340785236,OTO
JEdit,TM,F1_CV,0.0667893185973515,OTO
JFreeChart,TM,F1_CV,0.1010818522723657,OTO
JMeter,TM,F1_CV,0.1012547333102207,OTO
JRuby,TM,F1_CV,0.0653650950854416,OTO
SQuirrel,TM,F1_CV,0.1001946419131613,OTO
Dubbo,TM,F1_CV,0.0995573964398268,OTO
Gradle,TM,F1_CV,0.0694323022529796,OTO
Groovy,TM,F1_CV,0.1137830261201489,OTO
Hive,TM,F1_CV,0.1355565039864738,OTO
Maven,TM,F1_CV,0.0416987665688315,OTO
Poi,TM,F1_CV,0.125762520158664,OTO
SpringFramework,TM,F1_CV,0.1919050443533246,OTO
Storm,TM,F1_CV,0.1544816660148564,OTO
Tomcat,TM,F1_CV,0.1700848923492006,OTO
Zookeeper,TM,F1_CV,0.1519123812751018,OTO
Ant,CNN,F1_CV,0.2114901594478433,OTO
ArgoUML,CNN,F1_CV,0.0488270856140626,OTO
Columba,CNN,F1_CV,0.0541680872272935,OTO
EMF,CNN,F1_CV,0.0905428183469425,OTO
Hibernate,CNN,F1_CV,0.050399466699796,OTO
JEdit,CNN,F1_CV,0.1874047604459947,OTO
JFreeChart,CNN,F1_CV,0.0813739504271106,OTO
JMeter,CNN,F1_CV,0.0512468349754907,OTO
JRuby,CNN,F1_CV,0.0601267623903718,OTO
SQuirrel,CNN,F1_CV,0.078498265550497,OTO
Dubbo,CNN,F1_CV,0.1275167139477448,OTO
Gradle,CNN,F1_CV,0.1078111686537322,OTO
Groovy,CNN,F1_CV,0.089162884932434,OTO
Hive,CNN,F1_CV,0.0676134458705473,OTO
Maven,CNN,F1_CV,0.1058606820974265,OTO
Poi,CNN,F1_CV,0.0647911759676248,OTO
SpringFramework,CNN,F1_CV,0.0736895743684391,OTO
Storm,CNN,F1_CV,0.0680033606038857,OTO
Tomcat,CNN,F1_CV,0.090846912898812,OTO
Zookeeper,CNN,F1_CV,0.1206467225052814,OTO
