IR,Experiment,Method,Metric,Value
15,MTO,CNN,F1,0.7262
16,MTO,CNN,F1,0.7305999999999999
17,MTO,CNN,F1,0.7382500000000001
18,MTO,CNN,F1,0.7343999999999999
19,MTO,CNN,F1,0.7173
20,MTO,CNN,F1,0.7058500000000001
1,OTO,MAT,MCC,0.7241509334145977
2,OTO,MAT,MCC,0.7241509334145977
3,OTO,MAT,MCC,0.7241509334145977
4,OTO,MAT,MCC,0.7241509334145977
5,OTO,MAT,MCC,0.7241509334145977
6,OTO,MAT,MCC,0.7241509334145977
7,OTO,MAT,MCC,0.7241509334145977
8,OTO,MAT,MCC,0.7241509334145977
9,OTO,MAT,MCC,0.7241509334145977
10,OTO,MAT,MCC,0.7241509334145977
11,OTO,MAT,MCC,0.7241509334145977
12,OTO,MAT,MCC,0.7241509334145977
13,OTO,MAT,MCC,0.7241509334145977
14,OTO,MAT,MCC,0.7241509334145977
15,OTO,MAT,MCC,0.7241509334145977
16,OTO,MAT,MCC,0.7241509334145977
17,OTO,MAT,MCC,0.7241509334145977
18,OTO,MAT,MCC,0.7241509334145977
19,OTO,MAT,MCC,0.7241509334145977
20,OTO,MAT,MCC,0.7241509334145977
1,OTO,MAT,F1,0.7251000000000001
2,OTO,MAT,F1,0.7251000000000001
3,OTO,MAT,F1,0.7251000000000001
4,OTO,MAT,F1,0.7251000000000001
5,OTO,MAT,F1,0.7251000000000001
6,OTO,MAT,F1,0.7251000000000001
7,OTO,MAT,F1,0.7251000000000001
8,OTO,MAT,F1,0.7251000000000001
9,OTO,MAT,F1,0.7251000000000001
10,OTO,MAT,F1,0.7251000000000001
11,OTO,MAT,F1,0.7251000000000001
12,OTO,MAT,F1,0.7251000000000001
13,OTO,MAT,F1,0.7251000000000001
14,OTO,MAT,F1,0.7251000000000001
15,OTO,MAT,F1,0.7251000000000001
16,OTO,MAT,F1,0.7251000000000001
17,OTO,MAT,F1,0.7251000000000001
18,OTO,MAT,F1,0.7251000000000001
19,OTO,MAT,F1,0.7251000000000001
20,OTO,MAT,F1,0.7251000000000001
1,OTO,NLP,MCC,0.4551592244168594
2,OTO,NLP,MCC,0.5216954836031211
3,OTO,NLP,MCC,0.5611200607679885
4,OTO,NLP,MCC,0.5708142812758704
5,OTO,NLP,MCC,0.5826051153446916
6,OTO,NLP,MCC,0.5802867242507851
7,OTO,NLP,MCC,0.5848399914831713
8,OTO,NLP,MCC,0.5910398941146505
9,OTO,NLP,MCC,0.5964199461461599
10,OTO,NLP,MCC,0.5967993414784748
11,OTO,NLP,MCC,0.5979528755455928
12,OTO,NLP,MCC,0.5969319600258726
13,OTO,NLP,MCC,0.6004838241443639
14,OTO,NLP,MCC,0.5995926103029896
15,OTO,NLP,MCC,0.5925270306392469
16,OTO,NLP,MCC,0.5890351422384106
17,OTO,NLP,MCC,0.5943636841409714
18,OTO,NLP,MCC,0.5965477150065499
19,OTO,NLP,MCC,0.594787221017824
20,OTO,NLP,MCC,0.5846533438548318
1,OTO,NLP,F1,0.4461052631578947
2,OTO,NLP,F1,0.5388157894736842
3,OTO,NLP,F1,0.5776052631578947
4,OTO,NLP,F1,0.5871315789473683
5,OTO,NLP,F1,0.5966315789473684
6,OTO,NLP,F1,0.5918157894736842
7,OTO,NLP,F1,0.5955526315789474
8,OTO,NLP,F1,0.6039736842105263
9,OTO,NLP,F1,0.6092368421052632
10,OTO,NLP,F1,0.6097105263157894
11,OTO,NLP,F1,0.6128421052631579
12,OTO,NLP,F1,0.6123947368421052
13,OTO,NLP,F1,0.6163947368421052
14,OTO,NLP,F1,0.6157368421052631
15,OTO,NLP,F1,0.6068684210526316
16,OTO,NLP,F1,0.6055526315789475
17,OTO,NLP,F1,0.6093421052631578
18,OTO,NLP,F1,0.6111578947368421
19,OTO,NLP,F1,0.6089473684210527
20,OTO,NLP,F1,0.5987894736842105
1,OTO,TM,MCC,0.2948486881384208
2,OTO,TM,MCC,0.3381824135337757
3,OTO,TM,MCC,0.36244285862088216
4,OTO,TM,MCC,0.3849198055366282
5,OTO,TM,MCC,0.39563327905932616
6,OTO,TM,MCC,0.36301690893784083
7,OTO,TM,MCC,0.3717352538780956
8,OTO,TM,MCC,0.3855493981534496
9,OTO,TM,MCC,0.3796679516120086
10,OTO,TM,MCC,0.38982879794008995
11,OTO,TM,MCC,0.3921942816971561
12,OTO,TM,MCC,0.39106360400163953
13,OTO,TM,MCC,0.40955640161371676
14,OTO,TM,MCC,0.3962139186469506
15,OTO,TM,MCC,0.4094203938083371
16,OTO,TM,MCC,0.3943027283906001
17,OTO,TM,MCC,0.4065882254337204
18,OTO,TM,MCC,0.4160955632267782
19,OTO,TM,MCC,0.40708995375384166
20,OTO,TM,MCC,0.4164089022636087
1,OTO,TM,F1,0.26202500000000006
2,OTO,TM,F1,0.318925
3,OTO,TM,F1,0.35825000000000007
4,OTO,TM,F1,0.38970000000000005
5,OTO,TM,F1,0.40102499999999996
6,OTO,TM,F1,0.37479999999999997
7,OTO,TM,F1,0.38200000000000006
8,OTO,TM,F1,0.395775
9,OTO,TM,F1,0.40005
10,OTO,TM,F1,0.40970000000000006
11,OTO,TM,F1,0.40435
12,OTO,TM,F1,0.41225
13,OTO,TM,F1,0.4202
14,OTO,TM,F1,0.411175
15,OTO,TM,F1,0.4256
16,OTO,TM,F1,0.408825
17,OTO,TM,F1,0.42332499999999995
18,OTO,TM,F1,0.430625
19,OTO,TM,F1,0.42425
20,OTO,TM,F1,0.42945
1,OTO,CNN,MCC,0.6455184210526316
2,OTO,CNN,MCC,0.6651381578947368
3,OTO,CNN,MCC,0.668186842105263
4,OTO,CNN,MCC,0.6715868421052632
5,OTO,CNN,MCC,0.668246052631579
6,OTO,CNN,MCC,0.6591921052631579
7,OTO,CNN,MCC,0.6631513157894737
8,OTO,CNN,MCC,0.6697578947368421
9,OTO,CNN,MCC,0.6480355263157894
10,OTO,CNN,MCC,0.6484684210526315
