TP, FN, FP, TN, P    , R    , F1   , ER   , RI
40, 61, 37, 2913, 0.519, 0.396, 0.449, 0.936, 14.692
800, 168, 200, 4257, 0.800, 0.826, 0.813, 0.777, 3.483
109, 18, 26, 3936, 0.807, 0.858, 0.832, 0.962, 24.996
34, 39, 16, 2495, 0.680, 0.466, 0.553, 0.958, 23.070
270, 106, 43, 2072, 0.863, 0.718, 0.784, 0.825, 4.715
66, 128, 34, 4415, 0.660, 0.340, 0.449, 0.937, 14.796
77, 23, 59, 2334, 0.566, 0.770, 0.653, 0.929, 13.115
221, 60, 34, 3832, 0.867, 0.786, 0.825, 0.922, 11.790
331, 51, 54, 3215, 0.860, 0.866, 0.863, 0.878, 7.217
124, 76, 39, 4233, 0.761, 0.620, 0.683, 0.941, 16.010
59, 25, 34, 1530, 0.634, 0.702, 0.667, 0.920, 11.446
224, 96, 140, 2863, 0.615, 0.700, 0.655, 0.844, 5.390
202, 46, 112, 4074, 0.643, 0.815, 0.719, 0.913, 10.502
770, 275, 452, 27842, 0.630, 0.737, 0.679, 0.943, 16.691
89, 46, 42, 1041, 0.679, 0.659, 0.669, 0.837, 5.130
536, 81, 228, 14187, 0.702, 0.869, 0.776, 0.941, 16.092
68, 29, 79, 7535, 0.463, 0.701, 0.557, 0.973, 35.773
57, 34, 37, 3510, 0.606, 0.626, 0.616, 0.959, 23.242
190, 96, 145, 11786, 0.567, 0.664, 0.612, 0.959, 23.227
29, 33, 35, 2593, 0.453, 0.468, 0.460, 0.949, 18.660
