Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 40, 33, 428, 2083, 0.085, 0.548, 0.148, 0.669, 2.025
ArgoUML, 52, 21, 399, 2112, 0.115, 0.712, 0.198, 0.755, 3.081
Columba, 51, 22, 400, 2111, 0.113, 0.699, 0.195, 0.750, 3.003
EMF, 66, 7, 356, 2155, 0.156, 0.904, 0.267, 0.819, 4.536
Hibernate, 45, 28, 209, 2302, 0.177, 0.616, 0.275, 0.841, 5.271
JEdit, 54, 19, 642, 1869, 0.078, 0.740, 0.140, 0.636, 1.746
JFreeChart, 37, 36, 230, 2281, 0.139, 0.507, 0.218, 0.796, 3.905
JMeter, 39, 34, 297, 2214, 0.116, 0.534, 0.191, 0.757, 3.109
JRuby, 46, 27, 247, 2264, 0.157, 0.630, 0.251, 0.820, 4.557
SQuirrel, 44, 29, 428, 2083, 0.093, 0.603, 0.161, 0.697, 2.300
Dubbo, 47, 26, 512, 1999, 0.084, 0.644, 0.149, 0.664, 1.976
Gradle, 40, 33, 232, 2279, 0.147, 0.548, 0.232, 0.808, 4.205
Groovy, 35, 38, 335, 2176, 0.095, 0.479, 0.158, 0.701, 2.348
Hive, 44, 29, 274, 2237, 0.138, 0.603, 0.225, 0.796, 3.898
Maven, 34, 39, 353, 2158, 0.088, 0.466, 0.148, 0.678, 2.110
Poi, 48, 25, 391, 2120, 0.109, 0.658, 0.187, 0.742, 2.870
SpringFramework, 42, 31, 378, 2133, 0.100, 0.575, 0.170, 0.717, 2.540
Storm, 41, 32, 323, 2188, 0.113, 0.562, 0.188, 0.749, 2.987
Tomcat, 44, 29, 439, 2072, 0.091, 0.603, 0.158, 0.690, 2.225
Zookeeper, 29, 44, 313, 2198, 0.085, 0.397, 0.140, 0.667, 2.002
