Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 874, 94, 738, 3719, 0.542, 0.903, 0.678, 0.671, 2.039
ArgoUML, 797, 171, 422, 4035, 0.654, 0.823, 0.729, 0.727, 2.664
Columba, 801, 167, 764, 3693, 0.512, 0.827, 0.632, 0.651, 1.868
EMF, 879, 89, 1476, 2981, 0.373, 0.908, 0.529, 0.522, 1.092
Hibernate, 754, 214, 479, 3978, 0.612, 0.779, 0.685, 0.708, 2.427
JEdit, 906, 62, 868, 3589, 0.511, 0.936, 0.661, 0.651, 1.862
JFreeChart, 800, 168, 540, 3917, 0.597, 0.826, 0.693, 0.701, 2.346
JMeter, 736, 232, 534, 3923, 0.580, 0.760, 0.658, 0.692, 2.248
JRuby, 843, 125, 631, 3826, 0.572, 0.871, 0.690, 0.688, 2.205
SQuirrel, 857, 111, 737, 3720, 0.538, 0.885, 0.669, 0.668, 2.013
Dubbo, 796, 172, 786, 3671, 0.503, 0.822, 0.624, 0.645, 1.820
Gradle, 692, 276, 544, 3913, 0.560, 0.715, 0.628, 0.681, 2.138
Groovy, 746, 222, 497, 3960, 0.600, 0.771, 0.675, 0.703, 2.364
Hive, 745, 223, 445, 4012, 0.626, 0.770, 0.690, 0.715, 2.509
Maven, 566, 402, 692, 3765, 0.450, 0.585, 0.509, 0.603, 1.522
Poi, 858, 110, 697, 3760, 0.552, 0.886, 0.680, 0.677, 2.092
SpringFramework, 770, 198, 655, 3802, 0.540, 0.795, 0.644, 0.670, 2.028
Storm, 802, 166, 581, 3876, 0.580, 0.829, 0.682, 0.692, 2.250
Tomcat, 750, 218, 639, 3818, 0.540, 0.775, 0.636, 0.670, 2.026
Zookeeper, 772, 196, 778, 3679, 0.498, 0.798, 0.613, 0.642, 1.791
