Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 157, 43, 486, 3786, 0.244, 0.785, 0.372, 0.817, 4.460
ArgoUML, 131, 69, 626, 3646, 0.173, 0.655, 0.274, 0.742, 2.869
Columba, 156, 44, 590, 3682, 0.209, 0.780, 0.330, 0.786, 3.676
EMF, 149, 51, 848, 3424, 0.149, 0.745, 0.249, 0.701, 2.342
Hibernate, 150, 50, 268, 4004, 0.359, 0.750, 0.485, 0.875, 7.024
JEdit, 159, 41, 745, 3527, 0.176, 0.795, 0.288, 0.746, 2.933
JFreeChart, 127, 73, 333, 3939, 0.276, 0.635, 0.385, 0.838, 5.173
JMeter, 134, 66, 337, 3935, 0.285, 0.670, 0.399, 0.843, 5.361
JRuby, 149, 51, 478, 3794, 0.238, 0.745, 0.360, 0.812, 4.314
SQuirrel, 170, 30, 424, 3848, 0.286, 0.850, 0.428, 0.844, 5.399
Dubbo, 146, 54, 624, 3648, 0.190, 0.730, 0.301, 0.764, 3.240
Gradle, 128, 72, 289, 3983, 0.307, 0.640, 0.415, 0.854, 5.864
Groovy, 124, 76, 355, 3917, 0.259, 0.620, 0.365, 0.827, 4.788
Hive, 134, 66, 262, 4010, 0.338, 0.670, 0.450, 0.868, 6.566
Maven, 117, 83, 427, 3845, 0.215, 0.585, 0.315, 0.792, 3.809
Poi, 137, 63, 460, 3812, 0.229, 0.685, 0.344, 0.805, 4.131
SpringFramework, 149, 51, 546, 3726, 0.214, 0.745, 0.333, 0.791, 3.794
Storm, 151, 49, 539, 3733, 0.219, 0.755, 0.339, 0.796, 3.893
Tomcat, 124, 76, 470, 3802, 0.209, 0.620, 0.312, 0.786, 3.668
Zookeeper, 150, 50, 498, 3774, 0.231, 0.750, 0.354, 0.807, 4.176
