Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 254, 128, 377, 2892, 0.403, 0.665, 0.501, 0.740, 2.847
ArgoUML, 294, 88, 445, 2824, 0.398, 0.770, 0.525, 0.737, 2.802
Columba, 349, 33, 617, 2652, 0.361, 0.914, 0.518, 0.710, 2.453
EMF, 250, 132, 557, 2712, 0.310, 0.654, 0.421, 0.662, 1.961
Hibernate, 340, 42, 234, 3035, 0.592, 0.890, 0.711, 0.823, 4.661
JEdit, 276, 106, 482, 2787, 0.364, 0.723, 0.484, 0.713, 2.480
JFreeChart, 311, 71, 410, 2859, 0.431, 0.814, 0.564, 0.757, 3.123
JMeter, 324, 58, 378, 2891, 0.462, 0.848, 0.598, 0.773, 3.411
JRuby, 360, 22, 245, 3024, 0.595, 0.942, 0.729, 0.824, 4.687
SQuirrel, 268, 114, 490, 2779, 0.354, 0.702, 0.470, 0.704, 2.379
Dubbo, 320, 62, 491, 2778, 0.395, 0.838, 0.536, 0.735, 2.771
Gradle, 213, 169, 224, 3045, 0.487, 0.558, 0.520, 0.785, 3.659
Groovy, 315, 67, 268, 3001, 0.540, 0.825, 0.653, 0.806, 4.164
Hive, 331, 51, 251, 3018, 0.569, 0.866, 0.687, 0.816, 4.436
Maven, 274, 108, 486, 2783, 0.361, 0.717, 0.480, 0.710, 2.446
Poi, 326, 56, 522, 2747, 0.384, 0.853, 0.530, 0.728, 2.674
SpringFramework, 315, 67, 355, 2914, 0.470, 0.825, 0.599, 0.777, 3.493
Storm, 334, 48, 404, 2865, 0.453, 0.874, 0.596, 0.769, 3.326
Tomcat, 322, 60, 289, 2980, 0.527, 0.843, 0.649, 0.801, 4.037
Zookeeper, 328, 54, 468, 2801, 0.412, 0.859, 0.557, 0.746, 2.938
