Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 48, 15, 640, 1988, 0.070, 0.762, 0.128, 0.664, 1.980
ArgoUML, 32, 31, 138, 2490, 0.188, 0.508, 0.275, 0.876, 7.040
Columba, 42, 21, 359, 2269, 0.105, 0.667, 0.181, 0.776, 3.474
EMF, 40, 23, 455, 2173, 0.081, 0.635, 0.143, 0.710, 2.452
Hibernate, 46, 17, 313, 2315, 0.128, 0.730, 0.218, 0.817, 4.473
JEdit, 48, 15, 791, 1837, 0.057, 0.762, 0.106, 0.591, 1.444
JFreeChart, 47, 16, 444, 2184, 0.096, 0.746, 0.170, 0.755, 3.089
JMeter, 35, 28, 249, 2379, 0.123, 0.556, 0.202, 0.810, 4.264
JRuby, 44, 19, 148, 2480, 0.229, 0.698, 0.345, 0.898, 8.789
SQuirrel, 43, 20, 265, 2363, 0.140, 0.683, 0.232, 0.832, 4.963
Dubbo, 43, 20, 290, 2338, 0.129, 0.683, 0.217, 0.819, 4.516
Gradle, 35, 28, 147, 2481, 0.192, 0.556, 0.286, 0.878, 7.214
Groovy, 40, 23, 255, 2373, 0.136, 0.635, 0.223, 0.827, 4.792
Hive, 44, 19, 141, 2487, 0.238, 0.698, 0.355, 0.902, 9.159
Maven, 40, 23, 424, 2204, 0.086, 0.635, 0.152, 0.728, 2.682
Poi, 43, 20, 121, 2507, 0.262, 0.683, 0.379, 0.911, 10.199
SpringFramework, 39, 24, 283, 2345, 0.121, 0.619, 0.203, 0.807, 4.173
Storm, 50, 13, 537, 2091, 0.085, 0.794, 0.154, 0.725, 2.638
Tomcat, 49, 14, 237, 2391, 0.171, 0.778, 0.281, 0.863, 6.318
