Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 53.3, 48.7, 299.8, 2650.2, 0.173, 0.523, 0.250, 0.786, 4.164
ArgoUML, 911.3, 57.7, 601.1, 3855.9, 0.612, 0.940, 0.739, 0.703, 2.426
Columba, 108.0, 20.0, 212.4, 3749.6, 0.395, 0.844, 0.525, 0.905, 11.629
EMF, 42.7, 31.3, 250.0, 2261.0, 0.169, 0.577, 0.253, 0.811, 4.909
Hibernate, 307.3, 69.7, 268.6, 1846.4, 0.560, 0.815, 0.656, 0.718, 2.703
JEdit, 104.1, 90.9, 313.7, 4135.3, 0.307, 0.534, 0.369, 0.842, 6.317
JFreeChart, 69.7, 31.3, 149.5, 2243.5, 0.360, 0.690, 0.460, 0.872, 7.889
JMeter, 219.5, 62.5, 371.9, 3494.1, 0.416, 0.778, 0.529, 0.817, 5.120
JRuby, 308.7, 74.3, 311.5, 2957.5, 0.522, 0.806, 0.624, 0.790, 3.975
SQuirrel, 156.1, 44.9, 405.9, 3866.1, 0.310, 0.777, 0.433, 0.839, 5.902
Dubbo, 58.8, 26.2, 123.0, 1441.0, 0.354, 0.692, 0.459, 0.839, 5.864
Gradle, 285.1, 35.9, 609.4, 2393.6, 0.336, 0.888, 0.482, 0.698, 2.478
Groovy, 213.1, 35.9, 539.3, 3646.7, 0.306, 0.856, 0.444, 0.801, 4.449
Hive, 877.5, 168.5, 3709.3, 24584.7, 0.218, 0.839, 0.339, 0.815, 5.124
Maven, 113.1, 22.9, 153.7, 929.3, 0.442, 0.832, 0.572, 0.738, 2.966
Poi, 524.4, 93.6, 1376.1, 13038.9, 0.314, 0.849, 0.448, 0.849, 6.649
SpringFramework, 74.9, 23.1, 764.3, 6849.7, 0.111, 0.764, 0.190, 0.857, 7.742
Storm, 69.3, 22.7, 459.2, 3087.8, 0.154, 0.753, 0.249, 0.810, 5.079
Tomcat, 212.4, 74.6, 1307.7, 10623.3, 0.165, 0.740, 0.263, 0.834, 6.036
Zookeeper, 42.5, 20.5, 328.3, 2299.7, 0.139, 0.675, 0.224, 0.800, 4.929
