Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 50, 24, 474, 2037, 0.095, 0.676, 0.167, 0.700, 2.333
ArgoUML, 28, 46, 98, 2413, 0.222, 0.378, 0.280, 0.871, 6.763
Columba, 47, 27, 214, 2297, 0.180, 0.635, 0.281, 0.841, 5.291
Hibernate, 41, 33, 237, 2274, 0.147, 0.554, 0.233, 0.806, 4.152
JEdit, 54, 20, 634, 1877, 0.078, 0.730, 0.142, 0.635, 1.742
JFreeChart, 56, 18, 416, 2095, 0.119, 0.757, 0.205, 0.759, 3.145
JMeter, 42, 32, 124, 2387, 0.253, 0.568, 0.350, 0.887, 7.838
JRuby, 33, 41, 103, 2408, 0.243, 0.446, 0.314, 0.882, 7.476
SQuirrel, 53, 21, 260, 2251, 0.169, 0.716, 0.274, 0.831, 4.915
Dubbo, 41, 33, 227, 2284, 0.153, 0.554, 0.240, 0.813, 4.344
Gradle, 36, 38, 150, 2361, 0.194, 0.486, 0.277, 0.852, 5.761
Groovy, 40, 34, 123, 2388, 0.245, 0.541, 0.338, 0.883, 7.572
Hive, 37, 37, 117, 2394, 0.240, 0.500, 0.325, 0.881, 7.393
Maven, 46, 28, 364, 2147, 0.112, 0.622, 0.190, 0.745, 2.919
Poi, 37, 37, 148, 2363, 0.200, 0.500, 0.286, 0.857, 5.986
SpringFramework, 35, 39, 231, 2280, 0.132, 0.473, 0.206, 0.782, 3.596
Storm, 48, 26, 342, 2169, 0.123, 0.649, 0.207, 0.767, 3.299
Tomcat, 43, 31, 206, 2305, 0.173, 0.581, 0.266, 0.834, 5.033
Zookeeper, 44, 30, 282, 2229, 0.135, 0.595, 0.220, 0.788, 3.715
