Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 72, 26, 1586, 6028, 0.043, 0.735, 0.082, 0.707, 2.417
ArgoUML, 67, 31, 276, 7338, 0.195, 0.684, 0.304, 0.935, 14.372
Columba, 77, 21, 544, 7070, 0.124, 0.786, 0.214, 0.898, 8.758
EMF, 77, 21, 1310, 6304, 0.056, 0.786, 0.104, 0.771, 3.369
Hibernate, 75, 23, 520, 7094, 0.126, 0.765, 0.216, 0.899, 8.919
JEdit, 64, 34, 1646, 5968, 0.037, 0.653, 0.071, 0.660, 1.945
JFreeChart, 81, 17, 1108, 6506, 0.068, 0.827, 0.126, 0.813, 4.361
JMeter, 72, 26, 640, 6974, 0.101, 0.735, 0.178, 0.874, 6.958
JRuby, 73, 25, 266, 7348, 0.215, 0.745, 0.334, 0.941, 15.946
SQuirrel, 75, 23, 739, 6875, 0.092, 0.765, 0.164, 0.862, 6.251
Dubbo, 76, 22, 601, 7013, 0.112, 0.776, 0.196, 0.887, 7.834
Gradle, 70, 28, 338, 7276, 0.172, 0.714, 0.277, 0.926, 12.501
Groovy, 74, 24, 446, 7168, 0.142, 0.755, 0.239, 0.911, 10.199
Hive, 81, 17, 453, 7161, 0.152, 0.827, 0.256, 0.916, 10.937
Maven, 73, 25, 887, 6727, 0.076, 0.745, 0.138, 0.833, 4.984
Poi, 77, 21, 434, 7180, 0.151, 0.786, 0.253, 0.916, 10.858
Storm, 85, 13, 1047, 6567, 0.075, 0.867, 0.138, 0.831, 4.909
Tomcat, 79, 19, 697, 6917, 0.102, 0.806, 0.181, 0.875, 7.011
Zookeeper, 75, 23, 983, 6631, 0.071, 0.765, 0.130, 0.821, 4.578
