Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 206, 43, 969, 3217, 0.175, 0.827, 0.289, 0.680, 2.123
ArgoUML, 196, 53, 256, 3930, 0.434, 0.787, 0.559, 0.871, 6.723
Columba, 215, 34, 475, 3711, 0.312, 0.863, 0.458, 0.820, 4.550
EMF, 220, 29, 783, 3403, 0.219, 0.884, 0.351, 0.744, 2.907
Hibernate, 215, 34, 404, 3782, 0.347, 0.863, 0.495, 0.838, 5.186
JEdit, 195, 54, 980, 3206, 0.166, 0.783, 0.274, 0.662, 1.956
JFreeChart, 223, 26, 779, 3407, 0.223, 0.896, 0.357, 0.748, 2.964
JMeter, 216, 33, 412, 3774, 0.344, 0.867, 0.493, 0.837, 5.126
JRuby, 217, 32, 252, 3934, 0.463, 0.871, 0.604, 0.879, 7.241
SQuirrel, 217, 32, 499, 3687, 0.303, 0.871, 0.450, 0.815, 4.398
Dubbo, 210, 39, 472, 3714, 0.308, 0.843, 0.451, 0.818, 4.484
Gradle, 206, 43, 319, 3867, 0.392, 0.827, 0.532, 0.857, 5.989
Hive, 217, 32, 339, 3847, 0.390, 0.871, 0.539, 0.856, 5.952
Maven, 212, 37, 647, 3539, 0.247, 0.851, 0.383, 0.773, 3.396
Poi, 216, 33, 329, 3857, 0.396, 0.867, 0.544, 0.858, 6.059
SpringFramework, 213, 36, 497, 3689, 0.300, 0.855, 0.444, 0.813, 4.343
Storm, 223, 26, 679, 3507, 0.247, 0.896, 0.387, 0.773, 3.403
Tomcat, 217, 32, 536, 3650, 0.288, 0.871, 0.433, 0.805, 4.133
Zookeeper, 215, 34, 619, 3567, 0.258, 0.863, 0.397, 0.782, 3.592
