Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 159, 42, 812, 3460, 0.164, 0.791, 0.271, 0.726, 2.644
ArgoUML, 138, 63, 153, 4119, 0.474, 0.687, 0.561, 0.905, 9.553
Columba, 150, 51, 356, 3916, 0.296, 0.746, 0.424, 0.848, 5.597
EMF, 162, 39, 582, 3690, 0.218, 0.806, 0.343, 0.794, 3.846
Hibernate, 158, 43, 350, 3922, 0.311, 0.786, 0.446, 0.856, 5.921
JEdit, 159, 42, 790, 3482, 0.168, 0.791, 0.277, 0.732, 2.728
JFreeChart, 159, 42, 487, 3785, 0.246, 0.791, 0.375, 0.817, 4.477
JMeter, 146, 55, 242, 4030, 0.376, 0.726, 0.496, 0.881, 7.374
JRuby, 158, 43, 150, 4122, 0.513, 0.786, 0.621, 0.912, 10.416
Dubbo, 147, 54, 429, 3843, 0.255, 0.731, 0.378, 0.824, 4.679
Gradle, 145, 56, 222, 4050, 0.395, 0.721, 0.511, 0.886, 7.792
Groovy, 161, 40, 258, 4014, 0.384, 0.801, 0.519, 0.883, 7.551
Hive, 157, 44, 202, 4070, 0.437, 0.781, 0.561, 0.897, 8.732
Maven, 165, 36, 528, 3744, 0.238, 0.821, 0.369, 0.811, 4.299
Poi, 154, 47, 230, 4042, 0.401, 0.766, 0.526, 0.888, 7.925
SpringFramework, 157, 44, 497, 3775, 0.240, 0.781, 0.367, 0.813, 4.342
Storm, 168, 33, 540, 3732, 0.237, 0.836, 0.370, 0.811, 4.281
Tomcat, 168, 33, 400, 3872, 0.296, 0.836, 0.437, 0.848, 5.582
Zookeeper, 155, 46, 484, 3788, 0.243, 0.771, 0.369, 0.815, 4.398
