Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 107, 141, 298, 3888, 0.264, 0.431, 0.328, 0.788, 3.724
ArgoUML, 165, 83, 568, 3618, 0.225, 0.665, 0.336, 0.752, 3.025
Columba, 203, 45, 557, 3629, 0.267, 0.819, 0.403, 0.791, 3.776
EMF, 203, 45, 355, 3831, 0.364, 0.819, 0.504, 0.846, 5.504
Hibernate, 200, 48, 318, 3868, 0.386, 0.806, 0.522, 0.855, 5.903
JEdit, 206, 42, 385, 3801, 0.349, 0.831, 0.491, 0.840, 5.232
JFreeChart, 181, 67, 485, 3701, 0.272, 0.730, 0.396, 0.794, 3.859
JMeter, 168, 80, 241, 3945, 0.411, 0.677, 0.511, 0.864, 6.344
JRuby, 188, 60, 313, 3873, 0.375, 0.758, 0.502, 0.851, 5.709
SQuirrel, 188, 60, 335, 3851, 0.359, 0.758, 0.488, 0.844, 5.427
Dubbo, 60, 188, 261, 3925, 0.187, 0.242, 0.211, 0.701, 2.342
Gradle, 67, 181, 151, 4035, 0.307, 0.270, 0.288, 0.818, 4.495
Groovy, 173, 75, 127, 4059, 0.577, 0.698, 0.631, 0.903, 9.310
Hive, 185, 63, 337, 3849, 0.354, 0.746, 0.481, 0.842, 5.336
Maven, 77, 171, 388, 3798, 0.166, 0.310, 0.216, 0.662, 1.961
Poi, 169, 79, 359, 3827, 0.320, 0.681, 0.436, 0.825, 4.723
SpringFramework, 126, 122, 310, 3876, 0.289, 0.508, 0.368, 0.806, 4.167
Storm, 176, 72, 596, 3590, 0.228, 0.710, 0.345, 0.755, 3.076
Tomcat, 192, 56, 335, 3851, 0.364, 0.774, 0.495, 0.846, 5.514
Zookeeper, 150, 98, 452, 3734, 0.249, 0.605, 0.353, 0.776, 3.455
