Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 76, 25, 85, 2865, 0.472, 0.752, 0.580, 0.930, 13.260
ArgoUML, 47, 54, 395, 2555, 0.106, 0.465, 0.173, 0.689, 2.212
Columba, 61, 40, 272, 2678, 0.183, 0.604, 0.281, 0.819, 4.534
EMF, 32, 69, 207, 2743, 0.134, 0.317, 0.188, 0.753, 3.045
Hibernate, 45, 56, 197, 2753, 0.186, 0.446, 0.262, 0.822, 4.617
JEdit, 54, 47, 289, 2661, 0.157, 0.535, 0.243, 0.790, 3.756
JFreeChart, 41, 60, 312, 2638, 0.116, 0.406, 0.181, 0.715, 2.509
JMeter, 37, 64, 194, 2756, 0.160, 0.366, 0.223, 0.793, 3.838
JRuby, 57, 44, 224, 2726, 0.203, 0.564, 0.298, 0.837, 5.128
SQuirrel, 41, 60, 227, 2723, 0.153, 0.406, 0.222, 0.784, 3.621
Dubbo, 19, 82, 178, 2772, 0.096, 0.188, 0.128, 0.657, 1.913
Gradle, 15, 86, 88, 2862, 0.146, 0.149, 0.147, 0.773, 3.399
Groovy, 26, 75, 109, 2841, 0.193, 0.257, 0.220, 0.828, 4.818
Hive, 62, 39, 163, 2787, 0.276, 0.614, 0.380, 0.880, 7.324
Maven, 25, 76, 196, 2754, 0.113, 0.248, 0.155, 0.707, 2.417
Poi, 52, 49, 241, 2709, 0.177, 0.515, 0.264, 0.813, 4.361
SpringFramework, 31, 70, 307, 2643, 0.092, 0.307, 0.141, 0.639, 1.771
Storm, 33, 68, 243, 2707, 0.120, 0.327, 0.175, 0.723, 2.612
Tomcat, 62, 39, 253, 2697, 0.197, 0.614, 0.298, 0.832, 4.946
Zookeeper, 47, 54, 270, 2680, 0.148, 0.465, 0.225, 0.777, 3.479
