TP, FN, FP, TN, P    , R    , F1   , ER   , RI
55, 46, 50, 2900, 0.524, 0.545, 0.534, 0.937, 14.823
818, 150, 207, 4250, 0.798, 0.845, 0.821, 0.776, 3.473
101, 26, 20, 3942, 0.835, 0.795, 0.815, 0.963, 25.875
29, 44, 35, 2476, 0.453, 0.397, 0.423, 0.938, 15.039
258, 118, 49, 2066, 0.840, 0.686, 0.755, 0.820, 4.568
76, 118, 51, 4398, 0.598, 0.392, 0.474, 0.930, 13.322
68, 32, 36, 2357, 0.654, 0.680, 0.667, 0.939, 15.300
204, 77, 63, 3803, 0.764, 0.726, 0.745, 0.911, 10.276
308, 74, 73, 3196, 0.808, 0.806, 0.807, 0.871, 6.726
125, 75, 60, 4212, 0.676, 0.625, 0.649, 0.934, 14.108
57, 27, 26, 1538, 0.687, 0.679, 0.683, 0.926, 12.473
221, 99, 159, 2844, 0.582, 0.691, 0.631, 0.834, 5.039
175, 73, 117, 4069, 0.599, 0.706, 0.648, 0.907, 9.715
721, 324, 691, 27603, 0.511, 0.690, 0.587, 0.930, 13.336
86, 49, 40, 1043, 0.683, 0.637, 0.659, 0.838, 5.158
431, 186, 240, 14175, 0.642, 0.699, 0.669, 0.936, 14.649
63, 34, 111, 7503, 0.362, 0.649, 0.465, 0.965, 27.783
57, 34, 81, 3466, 0.413, 0.626, 0.498, 0.939, 15.513
207, 79, 233, 11698, 0.470, 0.724, 0.570, 0.950, 19.096
37, 25, 34, 2594, 0.521, 0.597, 0.556, 0.956, 21.610
