Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 26.3, 75.7, 28.7, 2921.3, 0.507, 0.258, 0.332, 0.930, 14.163
ArgoUML, 737.2, 231.8, 163.6, 4293.4, 0.819, 0.761, 0.783, 0.782, 3.585
Columba, 81.3, 46.7, 18.3, 3943.7, 0.822, 0.635, 0.708, 0.961, 25.279
EMF, 22.5, 51.5, 22.4, 2488.6, 0.572, 0.304, 0.384, 0.944, 18.994
Hibernate, 229.1, 147.9, 31.2, 2083.8, 0.880, 0.608, 0.715, 0.827, 4.816
JEdit, 33.8, 161.2, 19.9, 4429.1, 0.642, 0.174, 0.268, 0.933, 14.279
JFreeChart, 47.5, 53.5, 16.4, 2376.6, 0.755, 0.471, 0.567, 0.945, 17.649
JMeter, 172.6, 109.4, 40.6, 3825.4, 0.813, 0.612, 0.694, 0.915, 10.954
JRuby, 212.8, 170.2, 45.3, 3223.7, 0.822, 0.556, 0.654, 0.871, 6.836
SQuirrel, 105.6, 95.4, 44.6, 4227.4, 0.710, 0.526, 0.600, 0.935, 14.792
Dubbo, 39.5, 45.5, 20.1, 1543.9, 0.665, 0.465, 0.537, 0.921, 11.903
Gradle, 211.8, 109.2, 138.6, 2864.4, 0.611, 0.660, 0.629, 0.840, 5.326
Groovy, 166.6, 82.4, 96.6, 4089.4, 0.639, 0.669, 0.649, 0.910, 10.375
Hive, 657.4, 388.6, 451.4, 27842.6, 0.611, 0.628, 0.613, 0.939, 16.125
Maven, 83.7, 52.3, 38.1, 1044.9, 0.693, 0.615, 0.648, 0.838, 5.208
Poi, 374.2, 243.8, 163.9, 14251.1, 0.701, 0.605, 0.644, 0.939, 16.042
SpringFramework, 52.8, 45.2, 71.7, 7542.3, 0.464, 0.539, 0.490, 0.966, 35.495
Storm, 48.1, 43.9, 49.5, 3497.5, 0.527, 0.522, 0.515, 0.948, 19.863
Tomcat, 133.5, 153.5, 147.9, 11783.1, 0.494, 0.465, 0.472, 0.950, 20.041
Zookeeper, 26.1, 36.9, 33.6, 2594.4, 0.466, 0.414, 0.433, 0.944, 18.925
