Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 32, 66, 56, 7558, 0.364, 0.327, 0.344, 0.965, 27.616
ArgoUML, 50, 48, 104, 7510, 0.325, 0.510, 0.397, 0.961, 24.550
Columba, 67, 31, 31, 7583, 0.684, 0.684, 0.684, 0.981, 52.801
EMF, 58, 40, 72, 7542, 0.446, 0.592, 0.509, 0.972, 34.110
Hibernate, 64, 34, 84, 7530, 0.432, 0.653, 0.520, 0.971, 33.030
JEdit, 21, 77, 173, 7441, 0.108, 0.214, 0.144, 0.883, 7.518
JFreeChart, 59, 39, 180, 7434, 0.247, 0.602, 0.350, 0.949, 18.427
JMeter, 60, 38, 35, 7579, 0.632, 0.612, 0.622, 0.980, 48.701
JRuby, 66, 32, 43, 7571, 0.606, 0.673, 0.638, 0.979, 46.650
SQuirrel, 67, 31, 87, 7527, 0.435, 0.684, 0.532, 0.971, 33.237
Dubbo, 37, 61, 40, 7574, 0.481, 0.378, 0.423, 0.974, 36.814
Gradle, 40, 58, 54, 7560, 0.426, 0.408, 0.417, 0.970, 32.487
Groovy, 55, 43, 30, 7584, 0.647, 0.561, 0.601, 0.980, 49.920
Hive, 66, 32, 50, 7564, 0.569, 0.673, 0.617, 0.978, 43.774
Maven, 43, 55, 142, 7472, 0.232, 0.439, 0.304, 0.945, 17.291
Poi, 61, 37, 41, 7573, 0.598, 0.622, 0.610, 0.979, 46.062
Storm, 57, 41, 43, 7571, 0.570, 0.582, 0.576, 0.978, 43.856
Tomcat, 54, 44, 44, 7570, 0.551, 0.551, 0.551, 0.977, 42.362
Zookeeper, 46, 52, 54, 7560, 0.460, 0.469, 0.465, 0.972, 35.199
