Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 133, 149, 58, 3808, 0.696, 0.472, 0.562, 0.902, 9.243
ArgoUML, 183, 99, 64, 3802, 0.741, 0.649, 0.692, 0.908, 9.898
Columba, 187, 95, 24, 3842, 0.886, 0.663, 0.759, 0.923, 12.036
EMF, 175, 107, 36, 3830, 0.829, 0.621, 0.710, 0.918, 11.200
Hibernate, 197, 85, 33, 3833, 0.857, 0.699, 0.770, 0.921, 11.599
JEdit, 107, 175, 79, 3787, 0.575, 0.379, 0.457, 0.882, 7.462
JFreeChart, 185, 97, 116, 3750, 0.615, 0.656, 0.635, 0.889, 8.041
JRuby, 204, 78, 23, 3843, 0.899, 0.723, 0.802, 0.924, 12.219
SQuirrel, 203, 79, 40, 3826, 0.835, 0.720, 0.773, 0.919, 11.288
Dubbo, 139, 143, 21, 3845, 0.869, 0.493, 0.629, 0.922, 11.779
Gradle, 146, 136, 25, 3841, 0.854, 0.518, 0.645, 0.920, 11.559
Groovy, 190, 92, 29, 3837, 0.868, 0.674, 0.758, 0.922, 11.761
Hive, 202, 80, 35, 3831, 0.852, 0.716, 0.778, 0.920, 11.537
Maven, 152, 130, 59, 3807, 0.720, 0.539, 0.617, 0.906, 9.596
Poi, 201, 81, 25, 3841, 0.889, 0.713, 0.791, 0.924, 12.082
SpringFramework, 187, 95, 25, 3841, 0.882, 0.663, 0.757, 0.923, 11.975
Storm, 199, 83, 32, 3834, 0.861, 0.706, 0.776, 0.921, 11.672
Tomcat, 180, 102, 33, 3833, 0.845, 0.638, 0.727, 0.920, 11.430
Zookeeper, 162, 120, 38, 3828, 0.810, 0.574, 0.672, 0.916, 10.914
