Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 26.8, 75.2, 29.6, 2920.4, 0.495, 0.263, 0.335, 0.930, 13.817
ArgoUML, 752.1, 216.9, 170.9, 4286.1, 0.815, 0.776, 0.791, 0.781, 3.562
Columba, 81.9, 46.1, 17.8, 3944.2, 0.825, 0.640, 0.713, 0.962, 25.363
EMF, 23.1, 50.9, 23.3, 2487.7, 0.571, 0.312, 0.390, 0.943, 18.947
Hibernate, 233.2, 143.8, 32.6, 2082.4, 0.878, 0.619, 0.723, 0.827, 4.802
JEdit, 33.6, 161.4, 20.6, 4428.4, 0.628, 0.172, 0.264, 0.932, 13.957
JFreeChart, 48.7, 52.3, 15.9, 2377.1, 0.765, 0.483, 0.580, 0.946, 17.898
JMeter, 175.4, 106.6, 41.8, 3824.2, 0.810, 0.622, 0.701, 0.915, 10.910
JRuby, 215.5, 167.5, 46.6, 3222.4, 0.820, 0.563, 0.660, 0.871, 6.815
SQuirrel, 108.7, 92.3, 45.3, 4226.7, 0.712, 0.541, 0.612, 0.936, 14.840
Dubbo, 40.5, 44.5, 20.6, 1543.4, 0.659, 0.476, 0.546, 0.921, 11.778
Gradle, 216.5, 104.5, 143.4, 2859.6, 0.607, 0.674, 0.635, 0.839, 5.286
Groovy, 169.3, 79.7, 98.3, 4087.7, 0.638, 0.680, 0.655, 0.910, 10.368
Hive, 671.9, 374.1, 460.1, 27833.9, 0.608, 0.642, 0.621, 0.939, 16.047
Maven, 85.3, 50.7, 39.4, 1043.6, 0.689, 0.627, 0.654, 0.837, 5.174
Poi, 380.8, 237.2, 171.4, 14243.6, 0.696, 0.616, 0.649, 0.939, 15.923
SpringFramework, 55.0, 43.0, 75.7, 7538.3, 0.458, 0.561, 0.496, 0.967, 35.031
Storm, 48.7, 43.3, 50.3, 3496.7, 0.524, 0.529, 0.518, 0.948, 19.737
Tomcat, 135.4, 151.6, 151.2, 11779.8, 0.491, 0.472, 0.475, 0.949, 19.916
Zookeeper, 26.8, 36.2, 35.3, 2592.7, 0.455, 0.426, 0.435, 0.945, 18.419
