Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 264, 354, 173, 14242, 0.604, 0.427, 0.500, 0.932, 13.695
ArgoUML, 342, 276, 136, 14279, 0.715, 0.553, 0.624, 0.943, 16.404
Columba, 455, 163, 110, 14305, 0.805, 0.736, 0.769, 0.949, 18.589
EMF, 395, 223, 200, 14215, 0.664, 0.639, 0.651, 0.938, 15.149
Hibernate, 429, 189, 230, 14185, 0.651, 0.694, 0.672, 0.937, 14.835
JEdit, 233, 385, 449, 13966, 0.342, 0.377, 0.358, 0.880, 7.311
JFreeChart, 407, 211, 270, 14145, 0.601, 0.659, 0.629, 0.932, 13.624
JMeter, 395, 223, 98, 14317, 0.801, 0.639, 0.711, 0.949, 18.490
JRuby, 499, 119, 151, 14264, 0.768, 0.807, 0.787, 0.946, 17.674
SQuirrel, 450, 168, 190, 14225, 0.703, 0.728, 0.715, 0.942, 16.104
Dubbo, 310, 308, 103, 14312, 0.751, 0.502, 0.601, 0.945, 17.259
Gradle, 270, 348, 119, 14296, 0.694, 0.437, 0.536, 0.941, 15.884
Groovy, 363, 255, 98, 14317, 0.787, 0.587, 0.673, 0.948, 18.154
Hive, 472, 146, 173, 14242, 0.732, 0.764, 0.747, 0.944, 16.801
Maven, 324, 294, 220, 14195, 0.596, 0.524, 0.558, 0.931, 13.488
SpringFramework, 429, 189, 111, 14304, 0.794, 0.694, 0.741, 0.948, 18.325
Storm, 427, 191, 153, 14262, 0.736, 0.691, 0.713, 0.944, 16.908
Tomcat, 461, 157, 151, 14264, 0.753, 0.746, 0.750, 0.945, 17.323
Zookeeper, 311, 307, 121, 14294, 0.720, 0.503, 0.592, 0.943, 16.512
