Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 25.1, 76.9, 24.3, 2925.7, 0.535, 0.246, 0.327, 0.935, 15.001
ArgoUML, 725.4, 243.6, 153.2, 4303.8, 0.827, 0.749, 0.779, 0.784, 3.630
Columba, 77.4, 50.6, 15.8, 3946.2, 0.836, 0.605, 0.692, 0.962, 25.709
EMF, 21.3, 52.7, 19.3, 2491.7, 0.606, 0.287, 0.376, 0.945, 20.159
Hibernate, 223.1, 153.9, 27.4, 2087.6, 0.891, 0.592, 0.706, 0.830, 4.887
JEdit, 31.3, 163.7, 16.4, 4432.6, 0.667, 0.160, 0.253, 0.935, 14.880
JFreeChart, 46.4, 54.6, 13.9, 2379.1, 0.779, 0.460, 0.565, 0.947, 18.226
JMeter, 168.3, 113.7, 34.6, 3831.4, 0.831, 0.597, 0.689, 0.917, 11.219
JRuby, 203.1, 179.9, 39.2, 3229.8, 0.834, 0.530, 0.641, 0.874, 6.957
SQuirrel, 103.6, 97.4, 38.9, 4233.1, 0.732, 0.516, 0.601, 0.937, 15.297
Dubbo, 38.8, 46.2, 18.3, 1545.7, 0.680, 0.456, 0.536, 0.923, 12.198
Gradle, 206.1, 114.9, 125.7, 2877.3, 0.627, 0.642, 0.628, 0.845, 5.497
Groovy, 162.4, 86.6, 84.9, 4101.1, 0.660, 0.652, 0.651, 0.913, 10.761
Hive, 642.0, 404.0, 392.5, 27901.5, 0.633, 0.614, 0.617, 0.942, 16.744
Maven, 81.4, 54.6, 34.4, 1048.6, 0.709, 0.599, 0.644, 0.842, 5.358
Poi, 364.0, 254.0, 142.9, 14272.1, 0.719, 0.589, 0.641, 0.941, 16.479
SpringFramework, 51.2, 46.8, 61.8, 7552.2, 0.485, 0.523, 0.494, 0.969, 37.184
Storm, 46.3, 45.7, 40.5, 3506.5, 0.559, 0.503, 0.520, 0.952, 21.125
Tomcat, 127.3, 159.7, 125.8, 11805.2, 0.521, 0.443, 0.472, 0.953, 21.197
Zookeeper, 25.1, 37.9, 28.1, 2599.9, 0.502, 0.398, 0.439, 0.949, 20.427
