TP, FN, FP, TN, P    , R    , F1   , ER   , RI
64, 37, 122, 2828, 0.344, 0.634, 0.446, 0.904, 9.394
907, 61, 351, 4106, 0.721, 0.937, 0.815, 0.753, 3.041
109, 18, 58, 3904, 0.653, 0.858, 0.741, 0.952, 20.015
38, 35, 91, 2420, 0.295, 0.521, 0.376, 0.904, 9.427
304, 72, 126, 1989, 0.707, 0.809, 0.754, 0.786, 3.684
105, 89, 108, 4341, 0.493, 0.541, 0.516, 0.915, 10.798
75, 25, 71, 2322, 0.514, 0.750, 0.610, 0.922, 11.807
221, 60, 152, 3714, 0.592, 0.786, 0.676, 0.886, 7.744
336, 46, 156, 3113, 0.683, 0.880, 0.769, 0.847, 5.527
144, 56, 170, 4102, 0.459, 0.720, 0.560, 0.902, 9.254
62, 22, 61, 1503, 0.504, 0.738, 0.599, 0.899, 8.889
263, 57, 331, 2672, 0.443, 0.822, 0.575, 0.783, 3.598
206, 42, 282, 3904, 0.422, 0.831, 0.560, 0.868, 6.547
855, 190, 1575, 26719, 0.352, 0.818, 0.492, 0.899, 8.878
104, 31, 75, 1008, 0.581, 0.770, 0.662, 0.809, 4.242
527, 90, 546, 13869, 0.491, 0.854, 0.624, 0.916, 10.966
71, 26, 342, 7272, 0.172, 0.732, 0.278, 0.927, 12.666
67, 24, 184, 3363, 0.267, 0.736, 0.392, 0.906, 9.671
228, 58, 558, 11373, 0.290, 0.797, 0.425, 0.919, 11.391
42, 20, 95, 2533, 0.307, 0.677, 0.422, 0.925, 12.301
