Project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 25.2, 76.8, 24.5, 2925.5, 0.534, 0.247, 0.328, 0.935, 14.985
ArgoUML, 722.2, 246.8, 155.1, 4301.9, 0.824, 0.745, 0.777, 0.783, 3.613
Columba, 78.3, 49.7, 15.7, 3946.3, 0.839, 0.612, 0.698, 0.962, 25.796
EMF, 21.7, 52.3, 19.4, 2491.6, 0.608, 0.294, 0.382, 0.946, 20.256
Hibernate, 225.7, 151.3, 28.6, 2086.4, 0.887, 0.599, 0.712, 0.829, 4.865
JEdit, 31.1, 163.9, 17.0, 4432.0, 0.658, 0.159, 0.251, 0.935, 14.665
JFreeChart, 47.5, 53.5, 14.9, 2378.1, 0.772, 0.471, 0.571, 0.947, 18.061
JMeter, 170.6, 111.4, 35.6, 3830.4, 0.828, 0.605, 0.696, 0.917, 11.180
JRuby, 206.8, 176.2, 39.8, 3229.2, 0.835, 0.540, 0.648, 0.874, 6.962
SQuirrel, 104.4, 96.6, 39.4, 4232.6, 0.733, 0.519, 0.604, 0.937, 15.310
Dubbo, 38.4, 46.6, 18.2, 1545.8, 0.679, 0.451, 0.531, 0.923, 12.174
Gradle, 208.2, 112.8, 129.6, 2873.4, 0.623, 0.648, 0.630, 0.844, 5.448
Groovy, 164.7, 84.3, 88.1, 4097.9, 0.655, 0.661, 0.654, 0.913, 10.672
Hive, 645.1, 400.9, 398.1, 27895.9, 0.633, 0.617, 0.619, 0.942, 16.743
Maven, 81.9, 54.1, 36.3, 1046.7, 0.698, 0.603, 0.644, 0.839, 5.255
Poi, 366.2, 251.8, 146.5, 14268.5, 0.715, 0.592, 0.643, 0.941, 16.384
SpringFramework, 51.7, 46.3, 64.4, 7549.6, 0.478, 0.528, 0.493, 0.969, 36.606
Storm, 47.1, 44.9, 41.3, 3505.7, 0.559, 0.511, 0.525, 0.952, 21.107
Tomcat, 128.6, 158.4, 129.2, 11801.8, 0.516, 0.448, 0.473, 0.952, 20.976
Zookeeper, 25.3, 37.7, 28.6, 2599.4, 0.499, 0.402, 0.440, 0.949, 20.315
