Training project, TP, FN, FP, TN, P, R, F1, ER, RI
Ant, 28, 35, 20, 2608, 0.583, 0.444, 0.505, 0.960, 23.917
ArgoUML, 19, 44, 40, 2588, 0.322, 0.302, 0.311, 0.927, 12.755
Columba, 28, 35, 26, 2602, 0.519, 0.444, 0.479, 0.955, 21.148
EMF, 20, 43, 24, 2604, 0.455, 0.317, 0.374, 0.948, 18.416
Hibernate, 27, 36, 50, 2578, 0.351, 0.429, 0.386, 0.933, 13.978
JEdit, 23, 40, 89, 2539, 0.205, 0.365, 0.263, 0.886, 7.772
JFreeChart, 24, 39, 27, 2601, 0.471, 0.381, 0.421, 0.950, 19.101
JMeter, 21, 42, 22, 2606, 0.488, 0.333, 0.396, 0.952, 19.860
JRuby, 34, 29, 28, 2600, 0.548, 0.540, 0.544, 0.957, 22.424
SQuirrel, 24, 39, 25, 2603, 0.490, 0.381, 0.429, 0.952, 19.921
Dubbo, 21, 42, 22, 2606, 0.488, 0.333, 0.396, 0.952, 19.860
Gradle, 23, 40, 18, 2610, 0.561, 0.365, 0.442, 0.958, 22.962
Groovy, 24, 39, 27, 2601, 0.471, 0.381, 0.421, 0.950, 19.101
Hive, 27, 36, 17, 2611, 0.614, 0.429, 0.505, 0.962, 25.211
Maven, 24, 39, 46, 2582, 0.343, 0.381, 0.361, 0.932, 13.645
Poi, 29, 34, 14, 2614, 0.674, 0.460, 0.547, 0.965, 27.807
SpringFramework, 24, 39, 17, 2611, 0.585, 0.381, 0.462, 0.960, 24.003
Storm, 27, 36, 20, 2608, 0.574, 0.429, 0.491, 0.959, 23.538
Tomcat, 34, 29, 12, 2616, 0.739, 0.540, 0.624, 0.968, 30.571
