TP, FN, FP, TN, P    , R    , F1   , ER   , RI
78, 23, 481, 2469, 0.140, 0.772, 0.236, 0.763, 3.215
953, 15, 918, 3539, 0.509, 0.985, 0.671, 0.650, 1.855
122, 5, 317, 3645, 0.278, 0.961, 0.431, 0.888, 7.948
65, 8, 503, 2008, 0.114, 0.890, 0.203, 0.753, 3.051
349, 27, 502, 1613, 0.410, 0.928, 0.569, 0.632, 1.717
159, 35, 361, 4088, 0.306, 0.820, 0.445, 0.863, 6.318
92, 8, 292, 2101, 0.240, 0.920, 0.380, 0.833, 4.973
251, 30, 569, 3297, 0.306, 0.893, 0.456, 0.779, 3.517
365, 17, 509, 2760, 0.418, 0.955, 0.581, 0.749, 2.991
185, 15, 624, 3648, 0.229, 0.925, 0.367, 0.804, 4.113
72, 12, 181, 1383, 0.285, 0.857, 0.427, 0.821, 4.583
308, 12, 947, 2056, 0.245, 0.963, 0.391, 0.608, 1.549
238, 10, 822, 3364, 0.225, 0.960, 0.364, 0.751, 3.014
991, 54, 6161, 22133, 0.139, 0.948, 0.242, 0.743, 2.890
128, 7, 232, 851, 0.356, 0.948, 0.517, 0.688, 2.208
585, 32, 2472, 11943, 0.191, 0.948, 0.318, 0.786, 3.662
88, 9, 1340, 6274, 0.062, 0.907, 0.115, 0.796, 3.899
83, 8, 735, 2812, 0.101, 0.912, 0.183, 0.753, 3.056
267, 19, 2316, 9615, 0.103, 0.934, 0.186, 0.774, 3.416
54, 8, 568, 2060, 0.087, 0.871, 0.158, 0.735, 2.767
